latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type,query_start_date,query_day_range,source_product
29.51031,74.56346,331.99,0.55,0.43,2022-10-11,828,N,VIIRS,n,2,300.42,3.14,D,0,2022-10-11,5,VIIRS_SNPP_SP
30.48689,73.83944,335.79,0.52,0.42,2022-10-11,828,N,VIIRS,n,2,297.75,6.39,D,0,2022-10-11,5,VIIRS_SNPP_SP
30.50352,73.61768,347.97,0.51,0.41,2022-10-11,828,N,VIIRS,n,2,298.18,12.78,D,0,2022-10-11,5,VIIRS_SNPP_SP
30.52648,75.37211,340.24,0.42,0.45,2022-10-11,828,N,VIIRS,n,2,296.7,5.99,D,0,2022-10-11,5,VIIRS_SNPP_SP
30.53067,75.37153,339.36,0.42,0.45,2022-10-11,828,N,VIIRS,n,2,295.31,6.15,D,0,2022-10-11,5,VIIRS_SNPP_SP
30.62366,73.86054,338.75,0.52,0.42,2022-10-11,828,N,VIIRS,n,2,296.33,7.07,D,0,2022-10-11,5,VIIRS_SNPP_SP
30.65943,73.79939,333.93,0.52,0.42,2022-10-11,828,N,VIIRS,n,2,299.14,4.03,D,0,2022-10-11,5,VIIRS_SNPP_SP
30.66126,73.79778,330.97,0.52,0.42,2022-10-11,828,N,VIIRS,n,2,297.68,2.26,D,0,2022-10-11,5,VIIRS_SNPP_SP
30.66672,73.92693,331.48,0.53,0.42,2022-10-11,828,N,VIIRS,n,2,296.12,3.71,D,0,2022-10-11,5,VIIRS_SNPP_SP
30.68676,73.8161,336.65,0.52,0.42,2022-10-11,828,N,VIIRS,n,2,297.47,3.19,D,0,2022-10-11,5,VIIRS_SNPP_SP
30.70029,73.7308,336.34,0.52,0.41,2022-10-11,828,N,VIIRS,n,2,298.7,5.96,D,0,2022-10-11,5,VIIRS_SNPP_SP
30.71558,73.66241,334.31,0.51,0.41,2022-10-11,828,N,VIIRS,n,2,299.02,4.05,D,0,2022-10-11,5,VIIRS_SNPP_SP
