latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type,query_start_date,query_day_range,source_product
27.8544,78.4575,336.1,0.57,0.52,2024-10-16,825,N,VIIRS,n,2,303.04,5.23,D,0,2024-10-16,5,VIIRS_SNPP_SP
27.87152,77.46628,340.28,0.5,0.49,2024-10-16,825,N,VIIRS,n,2,302.49,7.32,D,0,2024-10-16,5,VIIRS_SNPP_SP
27.99682,77.56035,330.05,0.51,0.49,2024-10-16,826,N,VIIRS,l,2,301.42,2.15,D,0,2024-10-16,5,VIIRS_SNPP_SP
28.02273,77.54137,334.23,0.51,0.49,2024-10-16,826,N,VIIRS,n,2,302.31,3.91,D,0,2024-10-16,5,VIIRS_SNPP_SP
28.03157,76.62093,337.98,0.45,0.47,2024-10-16,826,N,VIIRS,n,2,307.68,1.65,D,0,2024-10-16,5,VIIRS_SNPP_SP
28.11454,77.34973,333.02,0.49,0.49,2024-10-16,826,N,VIIRS,n,2,304.78,2.46,D,0,2024-10-16,5,VIIRS_SNPP_SP
28.13414,76.79446,340.34,0.46,0.47,2024-10-16,826,N,VIIRS,n,2,309.97,2.93,D,0,2024-10-16,5,VIIRS_SNPP_SP
28.318,77.58861,343.69,0.51,0.5,2024-10-16,826,N,VIIRS,n,2,302.15,6.79,D,0,2024-10-16,5,VIIRS_SNPP_SP
29.33768,75.31678,335.63,0.39,0.44,2024-10-16,826,N,VIIRS,l,2,306.52,2.63,D,0,2024-10-16,5,VIIRS_SNPP_SP
29.33814,75.32084,341.55,0.39,0.44,2024-10-16,826,N,VIIRS,n,2,305.81,4.05,D,0,2024-10-16,5,VIIRS_SNPP_SP
29.34302,75.25552,345.18,0.39,0.44,2024-10-16,826,N,VIIRS,n,2,305.43,7.81,D,0,2024-10-16,5,VIIRS_SNPP_SP
29.36177,75.60695,333.34,0.41,0.45,2024-10-16,826,N,VIIRS,l,2,307.03,1.99,D,0,2024-10-16,5,VIIRS_SNPP_SP
29.3659,75.60639,343.96,0.41,0.45,2024-10-16,826,N,VIIRS,n,2,307.74,8.97,D,0,2024-10-16,5,VIIRS_SNPP_SP
29.38493,75.41487,341.95,0.4,0.44,2024-10-16,826,N,VIIRS,n,2,306.58,7.26,D,0,2024-10-16,5,VIIRS_SNPP_SP
29.47102,75.49174,345.26,0.4,0.44,2024-10-16,826,N,VIIRS,n,2,309.18,6.78,D,0,2024-10-16,5,VIIRS_SNPP_SP
29.47223,75.49094,342.46,0.4,0.44,2024-10-16,826,N,VIIRS,n,2,308.66,5.82,D,0,2024-10-16,5,VIIRS_SNPP_SP
29.5011,75.65874,335.28,0.41,0.45,2024-10-16,826,N,VIIRS,l,2,307.59,2.3,D,0,2024-10-16,5,VIIRS_SNPP_SP
29.53509,74.48664,335.04,0.53,0.42,2024-10-16,826,N,VIIRS,n,2,299.49,2.95,D,0,2024-10-16,5,VIIRS_SNPP_SP
29.78227,74.35384,338.99,0.53,0.42,2024-10-16,826,N,VIIRS,n,2,310.59,2.32,D,0,2024-10-16,5,VIIRS_SNPP_SP
29.99891,75.9333,333.97,0.43,0.46,2024-10-16,826,N,VIIRS,n,2,301.46,2.41,D,0,2024-10-16,5,VIIRS_SNPP_SP
30.32543,73.59797,334.05,0.49,0.4,2024-10-16,826,N,VIIRS,n,2,306.78,2.63,D,0,2024-10-16,5,VIIRS_SNPP_SP
30.36596,73.51575,334.48,0.49,0.4,2024-10-16,826,N,VIIRS,l,2,307.77,4.67,D,0,2024-10-16,5,VIIRS_SNPP_SP
30.40944,73.5611,335.98,0.49,0.4,2024-10-16,826,N,VIIRS,l,2,307.75,3.64,D,0,2024-10-16,5,VIIRS_SNPP_SP
30.43695,73.63039,344.85,0.5,0.41,2024-10-16,826,N,VIIRS,n,2,309.1,5.97,D,0,2024-10-16,5,VIIRS_SNPP_SP
30.43739,73.63276,335.04,0.5,0.41,2024-10-16,826,N,VIIRS,n,2,307.98,3.92,D,0,2024-10-16,5,VIIRS_SNPP_SP
