latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type,query_start_date,query_day_range,source_product
28.14192,77.76591,330.43,0.61,0.71,2023-11-25,659,N,VIIRS,n,2,295.69,3.2,D,0,2023-11-25,5,VIIRS_SNPP_SP
28.14322,77.76807,330.97,0.61,0.71,2023-11-25,659,N,VIIRS,n,2,295.66,4.13,D,0,2023-11-25,5,VIIRS_SNPP_SP
29.3688,77.62008,328.19,0.58,0.7,2023-11-25,659,N,VIIRS,n,2,293.24,3.48,D,0,2023-11-25,5,VIIRS_SNPP_SP
29.40019,78.71967,325.95,0.5,0.66,2023-11-25,659,N,VIIRS,n,2,296.58,2.2,D,0,2023-11-25,5,VIIRS_SNPP_SP
29.94484,77.00057,329.4,0.61,0.71,2023-11-25,700,N,VIIRS,n,2,292.73,4.04,D,0,2023-11-25,5,VIIRS_SNPP_SP
31.34465,77.52769,344.87,0.53,0.67,2023-11-25,700,N,VIIRS,n,2,286.67,12.41,D,0,2023-11-25,5,VIIRS_SNPP_SP
28.92169,77.94548,327.07,0.43,0.62,2023-11-25,840,N,VIIRS,n,2,278.4,2.12,D,0,2023-11-25,5,VIIRS_SNPP_SP
29.11033,77.81226,327.51,0.43,0.62,2023-11-25,840,N,VIIRS,n,2,292.93,1.75,D,0,2023-11-25,5,VIIRS_SNPP_SP
29.11069,77.81239,327.83,0.43,0.62,2023-11-25,840,N,VIIRS,n,2,293.27,1.88,D,0,2023-11-25,5,VIIRS_SNPP_SP
29.33455,73.83407,335.05,0.5,0.49,2023-11-25,840,N,VIIRS,n,2,295.69,4.43,D,0,2023-11-25,5,VIIRS_SNPP_SP
29.3369,73.90744,343.96,0.5,0.49,2023-11-25,840,N,VIIRS,n,2,292.48,5.44,D,0,2023-11-25,5,VIIRS_SNPP_SP
29.43797,74.0448,332.87,0.51,0.49,2023-11-25,840,N,VIIRS,n,2,294.17,3.71,D,0,2023-11-25,5,VIIRS_SNPP_SP
29.58208,74.43787,340.19,0.54,0.51,2023-11-25,840,N,VIIRS,n,2,293.88,12.88,D,0,2023-11-25,5,VIIRS_SNPP_SP
29.58389,74.44118,339.43,0.54,0.51,2023-11-25,840,N,VIIRS,n,2,293.52,6.34,D,0,2023-11-25,5,VIIRS_SNPP_SP
29.60032,74.35933,339.56,0.54,0.51,2023-11-25,840,N,VIIRS,n,2,288.22,9.86,D,0,2023-11-25,5,VIIRS_SNPP_SP
29.60083,74.36495,340.87,0.54,0.51,2023-11-25,840,N,VIIRS,n,2,289.54,9.86,D,0,2023-11-25,5,VIIRS_SNPP_SP
29.71385,75.75005,325.09,0.33,0.55,2023-11-25,840,N,VIIRS,l,2,295.3,2.87,D,0,2023-11-25,5,VIIRS_SNPP_SP
29.75513,75.68722,337.34,0.32,0.55,2023-11-25,840,N,VIIRS,n,2,292.29,2.34,D,0,2023-11-25,5,VIIRS_SNPP_SP
29.83914,76.07294,339.65,0.34,0.56,2023-11-25,840,N,VIIRS,n,2,283.56,3.65,D,0,2023-11-25,5,VIIRS_SNPP_SP
29.98026,74.84215,326.06,0.58,0.52,2023-11-25,840,N,VIIRS,n,2,294.43,3.97,D,0,2023-11-25,5,VIIRS_SNPP_SP
30.08808,77.61816,327.08,0.43,0.62,2023-11-25,840,N,VIIRS,n,2,282.84,1.98,D,0,2023-11-25,5,VIIRS_SNPP_SP
30.12579,74.7543,327.02,0.57,0.52,2023-11-25,840,N,VIIRS,l,2,297.78,3.62,D,0,2023-11-25,5,VIIRS_SNPP_SP
30.22169,74.03629,344.13,0.52,0.5,2023-11-25,840,N,VIIRS,n,2,295.51,16.71,D,0,2023-11-25,5,VIIRS_SNPP_SP
30.22581,74.03027,335.45,0.52,0.5,2023-11-25,840,N,VIIRS,n,2,294.01,4.02,D,0,2023-11-25,5,VIIRS_SNPP_SP
30.24985,75.92812,338.85,0.34,0.56,2023-11-25,840,N,VIIRS,n,2,278.15,4.86,D,0,2023-11-25,5,VIIRS_SNPP_SP
30.25273,75.26063,339.1,0.62,0.54,2023-11-25,840,N,VIIRS,n,2,276.31,8.56,D,0,2023-11-25,5,VIIRS_SNPP_SP
30.32335,77.1972,334.73,0.4,0.6,2023-11-25,840,N,VIIRS,n,2,287.07,3.5,D,0,2023-11-25,5,VIIRS_SNPP_SP
30.32601,77.19719,334.59,0.4,0.6,2023-11-25,840,N,VIIRS,n,2,286.03,3.99,D,0,2023-11-25,5,VIIRS_SNPP_SP
30.36953,74.55904,329.02,0.56,0.52,2023-11-25,840,N,VIIRS,n,2,288.8,3.54,D,0,2023-11-25,5,VIIRS_SNPP_SP
30.39935,74.56767,344.9,0.56,0.52,2023-11-25,840,N,VIIRS,n,2,285.17,7.59,D,0,2023-11-25,5,VIIRS_SNPP_SP
30.50655,74.31234,342.74,0.55,0.51,2023-11-25,840,N,VIIRS,n,2,297.43,6.83,D,0,2023-11-25,5,VIIRS_SNPP_SP
30.50746,74.31541,341.05,0.55,0.51,2023-11-25,840,N,VIIRS,n,2,296.13,10.18,D,0,2023-11-25,5,VIIRS_SNPP_SP
30.5092,74.34126,342.18,0.55,0.51,2023-11-25,840,N,VIIRS,n,2,297.19,11.49,D,0,2023-11-25,5,VIIRS_SNPP_SP
30.50993,74.34438,343.34,0.55,0.51,2023-11-25,840,N,VIIRS,n,2,295.43,6.73,D,0,2023-11-25,5,VIIRS_SNPP_SP
30.51228,74.27104,347.23,0.54,0.51,2023-11-25,840,N,VIIRS,n,2,293.85,32.76,D,0,2023-11-25,5,VIIRS_SNPP_SP
30.51346,74.27399,341.31,0.54,0.51,2023-11-25,840,N,VIIRS,n,2,297.05,18.68,D,0,2023-11-25,5,VIIRS_SNPP_SP
30.51699,74.2705,353.92,0.54,0.51,2023-11-25,840,N,VIIRS,n,2,303.89,32.76,D,0,2023-11-25,5,VIIRS_SNPP_SP
30.51817,74.27344,341.82,0.54,0.51,2023-11-25,840,N,VIIRS,n,2,298.39,18.68,D,0,2023-11-25,5,VIIRS_SNPP_SP
30.51868,74.34017,341.24,0.55,0.51,2023-11-25,840,N,VIIRS,n,2,300.81,5.67,D,0,2023-11-25,5,VIIRS_SNPP_SP
30.51921,74.34597,327.25,0.55,0.51,2023-11-25,840,N,VIIRS,n,2,295.34,5.67,D,0,2023-11-25,5,VIIRS_SNPP_SP
30.51941,74.34328,345.63,0.55,0.51,2023-11-25,840,N,VIIRS,n,2,298.89,9.49,D,0,2023-11-25,5,VIIRS_SNPP_SP
30.55207,74.33366,325.89,0.55,0.51,2023-11-25,840,N,VIIRS,n,2,299.15,1.84,D,0,2023-11-25,5,VIIRS_SNPP_SP
30.58623,74.39447,333.32,0.55,0.51,2023-11-25,840,N,VIIRS,n,2,298.79,6.79,D,0,2023-11-25,5,VIIRS_SNPP_SP
30.59098,74.39393,339.18,0.55,0.51,2023-11-25,840,N,VIIRS,n,2,298.23,11.02,D,0,2023-11-25,5,VIIRS_SNPP_SP
30.59151,74.39979,330.56,0.55,0.51,2023-11-25,840,N,VIIRS,n,2,297.21,11.02,D,0,2023-11-25,5,VIIRS_SNPP_SP
30.59316,74.20689,328.7,0.54,0.51,2023-11-25,840,N,VIIRS,n,2,287.98,9.91,D,0,2023-11-25,5,VIIRS_SNPP_SP
30.59736,74.30508,335.5,0.55,0.51,2023-11-25,840,N,VIIRS,n,2,301.42,4.56,D,0,2023-11-25,5,VIIRS_SNPP_SP
30.60684,74.40989,340.59,0.55,0.51,2023-11-25,840,N,VIIRS,n,2,300.47,12.28,D,0,2023-11-25,5,VIIRS_SNPP_SP
30.60852,75.11919,343.34,0.61,0.54,2023-11-25,840,N,VIIRS,n,2,296.98,10.16,D,0,2023-11-25,5,VIIRS_SNPP_SP
30.61687,74.36149,328.63,0.55,0.51,2023-11-25,840,N,VIIRS,l,2,301.02,4.11,D,0,2023-11-25,5,VIIRS_SNPP_SP
30.61734,74.35938,333.04,0.55,0.51,2023-11-25,840,N,VIIRS,n,2,300.53,3.34,D,0,2023-11-25,5,VIIRS_SNPP_SP
30.61867,75.05943,331.28,0.61,0.53,2023-11-25,840,N,VIIRS,n,2,292.67,3.82,D,0,2023-11-25,5,VIIRS_SNPP_SP
30.62192,74.20935,325.62,0.54,0.51,2023-11-25,840,N,VIIRS,n,2,292.71,8.9,D,0,2023-11-25,5,VIIRS_SNPP_SP
30.62338,74.20698,342.36,0.54,0.51,2023-11-25,840,N,VIIRS,n,2,293.65,6.03,D,0,2023-11-25,5,VIIRS_SNPP_SP
