latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type,query_start_date,query_day_range,source_product
27.78942,77.68492,330.02,0.51,0.41,2024-10-06,813,N,VIIRS,n,2,298.1,3.21,D,0,2024-10-06,5,VIIRS_SNPP_SP
27.7939,77.65769,342.06,0.51,0.41,2024-10-06,813,N,VIIRS,n,2,302.47,6.71,D,0,2024-10-06,5,VIIRS_SNPP_SP
27.85128,78.17903,332.24,0.54,0.42,2024-10-06,813,N,VIIRS,n,2,300.57,4.63,D,0,2024-10-06,5,VIIRS_SNPP_SP
27.96352,77.60565,334.32,0.51,0.41,2024-10-06,813,N,VIIRS,n,2,303.35,3.94,D,0,2024-10-06,5,VIIRS_SNPP_SP
27.96383,77.60276,335.24,0.51,0.41,2024-10-06,813,N,VIIRS,n,2,303.43,3.91,D,0,2024-10-06,5,VIIRS_SNPP_SP
27.96691,77.31331,337.05,0.49,0.41,2024-10-06,813,N,VIIRS,n,2,301.96,5.69,D,0,2024-10-06,5,VIIRS_SNPP_SP
27.97536,77.44633,343.36,0.5,0.41,2024-10-06,813,N,VIIRS,n,2,303.04,4.94,D,0,2024-10-06,5,VIIRS_SNPP_SP
27.98362,77.38801,332.75,0.5,0.41,2024-10-06,813,N,VIIRS,n,2,302.37,2.85,D,0,2024-10-06,5,VIIRS_SNPP_SP
28.00113,77.37499,336.55,0.5,0.41,2024-10-06,813,N,VIIRS,n,2,303.03,5.81,D,0,2024-10-06,5,VIIRS_SNPP_SP
28.06978,77.53391,333.74,0.51,0.41,2024-10-06,813,N,VIIRS,n,2,303.28,3.31,D,0,2024-10-06,5,VIIRS_SNPP_SP
28.08783,76.61525,337.32,0.46,0.39,2024-10-06,813,N,VIIRS,n,2,305.91,2.53,D,0,2024-10-06,5,VIIRS_SNPP_SP
28.09766,77.88216,333.13,0.53,0.42,2024-10-06,813,N,VIIRS,n,2,302.67,2.95,D,0,2024-10-06,5,VIIRS_SNPP_SP
28.09896,77.88477,331.72,0.53,0.42,2024-10-06,813,N,VIIRS,n,2,302.46,2.18,D,0,2024-10-06,5,VIIRS_SNPP_SP
28.10363,77.6242,335.17,0.51,0.41,2024-10-06,813,N,VIIRS,n,2,304.54,5.35,D,0,2024-10-06,5,VIIRS_SNPP_SP
28.1159,76.77997,337.65,0.47,0.4,2024-10-06,813,N,VIIRS,n,2,306.41,3.5,D,0,2024-10-06,5,VIIRS_SNPP_SP
28.1395,77.86227,334.73,0.53,0.42,2024-10-06,813,N,VIIRS,n,2,302.62,2.84,D,0,2024-10-06,5,VIIRS_SNPP_SP
28.20402,78.14324,336.36,0.55,0.42,2024-10-06,813,N,VIIRS,n,2,301.76,4.45,D,0,2024-10-06,5,VIIRS_SNPP_SP
28.29318,77.47978,332.04,0.51,0.41,2024-10-06,813,N,VIIRS,n,2,303.8,2.37,D,0,2024-10-06,5,VIIRS_SNPP_SP
28.3339,78.77465,333.98,0.4,0.44,2024-10-06,813,N,VIIRS,n,2,299.91,1.77,D,0,2024-10-06,5,VIIRS_SNPP_SP
28.35373,77.50236,332.44,0.51,0.41,2024-10-06,813,N,VIIRS,n,2,301.25,1.58,D,0,2024-10-06,5,VIIRS_SNPP_SP
28.35516,78.77993,333.46,0.4,0.44,2024-10-06,813,N,VIIRS,n,2,300.38,1.96,D,0,2024-10-06,5,VIIRS_SNPP_SP
28.40182,78.03702,345.73,0.54,0.42,2024-10-06,813,N,VIIRS,n,2,304.83,8.09,D,0,2024-10-06,5,VIIRS_SNPP_SP
28.47694,78.72996,341.96,0.39,0.44,2024-10-06,813,N,VIIRS,n,2,300.86,2.65,D,0,2024-10-06,5,VIIRS_SNPP_SP
28.64817,77.56339,333.17,0.52,0.41,2024-10-06,813,N,VIIRS,n,2,302.43,2.72,D,0,2024-10-06,5,VIIRS_SNPP_SP
29.25186,77.06845,334.67,0.5,0.41,2024-10-06,813,N,VIIRS,n,2,302.76,3.34,D,0,2024-10-06,5,VIIRS_SNPP_SP
29.26994,77.02919,332.83,0.49,0.41,2024-10-06,813,N,VIIRS,n,2,302.21,2.23,D,0,2024-10-06,5,VIIRS_SNPP_SP
29.31754,75.5778,337.3,0.43,0.38,2024-10-06,813,N,VIIRS,n,2,302.44,3.97,D,0,2024-10-06,5,VIIRS_SNPP_SP
29.31784,75.57956,333.11,0.43,0.38,2024-10-06,813,N,VIIRS,n,2,301.65,3.04,D,0,2024-10-06,5,VIIRS_SNPP_SP
29.42601,75.63879,336.73,0.43,0.38,2024-10-06,813,N,VIIRS,n,2,305.3,3.0,D,0,2024-10-06,5,VIIRS_SNPP_SP
29.44828,76.82536,334.23,0.49,0.4,2024-10-06,813,N,VIIRS,n,2,299.2,3.76,D,0,2024-10-06,5,VIIRS_SNPP_SP
29.46097,75.88446,338.5,0.44,0.39,2024-10-06,813,N,VIIRS,n,2,302.84,3.06,D,0,2024-10-06,5,VIIRS_SNPP_SP
29.46173,75.88277,344.68,0.44,0.39,2024-10-06,813,N,VIIRS,n,2,305.07,4.35,D,0,2024-10-06,5,VIIRS_SNPP_SP
29.46451,75.88387,330.94,0.44,0.39,2024-10-06,813,N,VIIRS,n,2,302.25,3.06,D,0,2024-10-06,5,VIIRS_SNPP_SP
29.51066,75.62583,333.48,0.44,0.38,2024-10-06,813,N,VIIRS,n,2,305.41,2.38,D,0,2024-10-06,5,VIIRS_SNPP_SP
29.58512,76.37723,336.08,0.47,0.39,2024-10-06,813,N,VIIRS,n,2,303.71,4.46,D,0,2024-10-06,5,VIIRS_SNPP_SP
29.64797,75.96774,334.34,0.45,0.39,2024-10-06,813,N,VIIRS,n,2,302.27,6.42,D,0,2024-10-06,5,VIIRS_SNPP_SP
