latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type,query_start_date,query_day_range,source_product
28.19868,77.38143,336.34,0.46,0.39,2024-11-30,742,N,VIIRS,n,2,298.81,6.38,D,0,2024-11-30,1,VIIRS_SNPP_SP
28.20005,77.38296,343.34,0.46,0.39,2024-11-30,742,N,VIIRS,n,2,298.05,4.93,D,0,2024-11-30,1,VIIRS_SNPP_SP
28.37086,77.92961,332.91,0.44,0.38,2024-11-30,742,N,VIIRS,n,2,301.3,2.7,D,0,2024-11-30,1,VIIRS_SNPP_SP
28.50607,77.79088,331.2,0.44,0.38,2024-11-30,742,N,VIIRS,n,2,298.34,2.57,D,0,2024-11-30,1,VIIRS_SNPP_SP
28.51577,78.79967,330.61,0.41,0.37,2024-11-30,742,N,VIIRS,n,2,298.99,1.78,D,0,2024-11-30,1,VIIRS_SNPP_SP
28.51943,77.4722,339.59,0.45,0.39,2024-11-30,742,N,VIIRS,n,2,299.88,3.53,D,0,2024-11-30,1,VIIRS_SNPP_SP
28.60352,77.68623,342.47,0.44,0.39,2024-11-30,742,N,VIIRS,n,2,298.17,4.17,D,0,2024-11-30,1,VIIRS_SNPP_SP
28.64202,77.78003,331.84,0.44,0.38,2024-11-30,742,N,VIIRS,n,2,296.85,5.84,D,0,2024-11-30,1,VIIRS_SNPP_SP
28.73082,77.5609,336.17,0.45,0.39,2024-11-30,742,N,VIIRS,n,2,297.5,4.28,D,0,2024-11-30,1,VIIRS_SNPP_SP
28.74413,78.7388,333.64,0.41,0.37,2024-11-30,742,N,VIIRS,n,2,302.31,3.04,D,0,2024-11-30,1,VIIRS_SNPP_SP
28.78628,77.77282,330.9,0.44,0.38,2024-11-30,742,N,VIIRS,n,2,298.25,1.48,D,0,2024-11-30,1,VIIRS_SNPP_SP
28.85077,77.52068,330.86,0.45,0.39,2024-11-30,742,N,VIIRS,n,2,296.51,3.42,D,0,2024-11-30,1,VIIRS_SNPP_SP
28.88396,76.09536,330.31,0.52,0.41,2024-11-30,742,N,VIIRS,n,2,297.12,2.4,D,0,2024-11-30,1,VIIRS_SNPP_SP
28.89286,77.86516,332.07,0.43,0.38,2024-11-30,742,N,VIIRS,n,2,297.88,2.9,D,0,2024-11-30,1,VIIRS_SNPP_SP
28.90881,78.38235,333.49,0.42,0.37,2024-11-30,742,N,VIIRS,n,2,299.27,4.76,D,0,2024-11-30,1,VIIRS_SNPP_SP
28.91801,77.26286,331.61,0.46,0.39,2024-11-30,742,N,VIIRS,n,2,298.91,1.83,D,0,2024-11-30,1,VIIRS_SNPP_SP
28.94308,77.42515,331.34,0.45,0.39,2024-11-30,742,N,VIIRS,n,2,298.51,4.65,D,0,2024-11-30,1,VIIRS_SNPP_SP
28.94924,77.31358,330.68,0.45,0.39,2024-11-30,742,N,VIIRS,n,2,298.4,1.19,D,0,2024-11-30,1,VIIRS_SNPP_SP
28.96126,77.44476,333.2,0.45,0.39,2024-11-30,742,N,VIIRS,n,2,302.09,13.96,D,0,2024-11-30,1,VIIRS_SNPP_SP
29.03316,78.00356,331.21,0.43,0.38,2024-11-30,742,N,VIIRS,n,2,296.37,1.62,D,0,2024-11-30,1,VIIRS_SNPP_SP
29.05169,77.28912,333.57,0.45,0.39,2024-11-30,742,N,VIIRS,n,2,298.72,4.79,D,0,2024-11-30,1,VIIRS_SNPP_SP
29.05387,77.29092,328.49,0.45,0.39,2024-11-30,742,N,VIIRS,n,2,297.31,3.27,D,0,2024-11-30,1,VIIRS_SNPP_SP
29.06506,78.64587,330.94,0.41,0.37,2024-11-30,742,N,VIIRS,n,2,297.64,2.71,D,0,2024-11-30,1,VIIRS_SNPP_SP
29.08142,77.92559,336.2,0.43,0.38,2024-11-30,742,N,VIIRS,n,2,297.29,3.77,D,0,2024-11-30,1,VIIRS_SNPP_SP
29.0856,77.9701,334.67,0.43,0.38,2024-11-30,742,N,VIIRS,n,2,298.06,3.19,D,0,2024-11-30,1,VIIRS_SNPP_SP
29.08642,76.30005,342.1,0.5,0.41,2024-11-30,742,N,VIIRS,n,2,298.07,8.77,D,0,2024-11-30,1,VIIRS_SNPP_SP
29.08894,76.29678,336.27,0.5,0.41,2024-11-30,742,N,VIIRS,n,2,297.95,5.54,D,0,2024-11-30,1,VIIRS_SNPP_SP
29.12588,76.79074,332.44,0.48,0.4,2024-11-30,742,N,VIIRS,n,2,300.04,3.92,D,0,2024-11-30,1,VIIRS_SNPP_SP
29.1573,77.73624,334.11,0.44,0.38,2024-11-30,742,N,VIIRS,n,2,297.04,2.42,D,0,2024-11-30,1,VIIRS_SNPP_SP
29.15782,77.8419,332.13,0.43,0.38,2024-11-30,742,N,VIIRS,n,2,297.7,3.11,D,0,2024-11-30,1,VIIRS_SNPP_SP
29.1652,76.2437,331.67,0.5,0.41,2024-11-30,742,N,VIIRS,n,2,297.54,3.29,D,0,2024-11-30,1,VIIRS_SNPP_SP
29.19426,77.20944,330.53,0.46,0.39,2024-11-30,742,N,VIIRS,n,2,297.41,3.52,D,0,2024-11-30,1,VIIRS_SNPP_SP
29.20705,78.23923,328.19,0.42,0.38,2024-11-30,742,N,VIIRS,n,2,297.7,1.84,D,0,2024-11-30,1,VIIRS_SNPP_SP
29.22666,77.36994,335.28,0.45,0.39,2024-11-30,742,N,VIIRS,n,2,297.5,3.47,D,0,2024-11-30,1,VIIRS_SNPP_SP
29.23347,76.21363,331.51,0.5,0.41,2024-11-30,742,N,VIIRS,n,2,299.29,4.51,D,0,2024-11-30,1,VIIRS_SNPP_SP
29.28184,77.80582,327.59,0.43,0.38,2024-11-30,742,N,VIIRS,n,2,296.66,2.46,D,0,2024-11-30,1,VIIRS_SNPP_SP
29.29024,77.45965,332.36,0.44,0.39,2024-11-30,742,N,VIIRS,n,2,298.38,3.13,D,0,2024-11-30,1,VIIRS_SNPP_SP
29.30456,77.87384,329.55,0.43,0.38,2024-11-30,742,N,VIIRS,n,2,296.73,4.01,D,0,2024-11-30,1,VIIRS_SNPP_SP
29.30532,77.87823,330.39,0.43,0.38,2024-11-30,742,N,VIIRS,n,2,295.74,4.94,D,0,2024-11-30,1,VIIRS_SNPP_SP
29.30794,78.33807,327.62,0.42,0.37,2024-11-30,742,N,VIIRS,n,2,296.02,1.94,D,0,2024-11-30,1,VIIRS_SNPP_SP
29.31367,78.55983,332.85,0.41,0.37,2024-11-30,742,N,VIIRS,n,2,297.5,2.56,D,0,2024-11-30,1,VIIRS_SNPP_SP
29.32615,77.37714,327.84,0.45,0.39,2024-11-30,742,N,VIIRS,n,2,295.93,1.58,D,0,2024-11-30,1,VIIRS_SNPP_SP
29.37413,77.50309,332.6,0.44,0.38,2024-11-30,742,N,VIIRS,n,2,298.1,4.54,D,0,2024-11-30,1,VIIRS_SNPP_SP
29.41639,76.73317,334.07,0.47,0.4,2024-11-30,742,N,VIIRS,n,2,298.84,3.69,D,0,2024-11-30,1,VIIRS_SNPP_SP
29.44693,77.60912,331.69,0.44,0.38,2024-11-30,742,N,VIIRS,n,2,297.01,2.93,D,0,2024-11-30,1,VIIRS_SNPP_SP
29.51627,77.48579,330.6,0.44,0.38,2024-11-30,742,N,VIIRS,n,2,297.02,3.6,D,0,2024-11-30,1,VIIRS_SNPP_SP
29.54061,77.37795,330.81,0.44,0.39,2024-11-30,742,N,VIIRS,n,2,296.84,1.54,D,0,2024-11-30,1,VIIRS_SNPP_SP
29.54728,78.20342,330.12,0.42,0.37,2024-11-30,742,N,VIIRS,n,2,296.6,2.69,D,0,2024-11-30,1,VIIRS_SNPP_SP
29.55752,77.57587,328.1,0.44,0.38,2024-11-30,742,N,VIIRS,n,2,299.11,1.84,D,0,2024-11-30,1,VIIRS_SNPP_SP
29.60224,78.44202,331.31,0.41,0.37,2024-11-30,742,N,VIIRS,n,2,298.09,1.54,D,0,2024-11-30,1,VIIRS_SNPP_SP
29.64676,77.05294,332.91,0.46,0.39,2024-11-30,742,N,VIIRS,n,2,295.54,3.0,D,0,2024-11-30,1,VIIRS_SNPP_SP
29.65708,77.75167,334.43,0.43,0.38,2024-11-30,742,N,VIIRS,n,2,296.73,3.69,D,0,2024-11-30,1,VIIRS_SNPP_SP
29.66429,78.02203,330.08,0.42,0.38,2024-11-30,742,N,VIIRS,n,2,295.59,1.76,D,0,2024-11-30,1,VIIRS_SNPP_SP
29.7168,78.09972,327.25,0.42,0.38,2024-11-30,742,N,VIIRS,n,2,296.11,2.04,D,0,2024-11-30,1,VIIRS_SNPP_SP
29.73339,77.56532,331.14,0.44,0.38,2024-11-30,742,N,VIIRS,n,2,297.28,2.67,D,0,2024-11-30,1,VIIRS_SNPP_SP
29.78226,77.74323,330.5,0.43,0.38,2024-11-30,742,N,VIIRS,n,2,296.37,2.1,D,0,2024-11-30,1,VIIRS_SNPP_SP
29.79002,77.16143,336.53,0.45,0.39,2024-11-30,742,N,VIIRS,n,2,297.86,4.96,D,0,2024-11-30,1,VIIRS_SNPP_SP
29.81664,77.31284,329.12,0.44,0.39,2024-11-30,742,N,VIIRS,n,2,297.63,2.22,D,0,2024-11-30,1,VIIRS_SNPP_SP
29.82111,77.24181,328.0,0.45,0.39,2024-11-30,742,N,VIIRS,n,2,296.87,1.8,D,0,2024-11-30,1,VIIRS_SNPP_SP
29.86669,78.07761,330.72,0.42,0.38,2024-11-30,742,N,VIIRS,n,2,296.25,1.13,D,0,2024-11-30,1,VIIRS_SNPP_SP
29.89144,77.9105,325.43,0.42,0.38,2024-11-30,742,N,VIIRS,n,2,295.04,0.9,D,0,2024-11-30,1,VIIRS_SNPP_SP
29.9406,77.73227,331.53,0.43,0.38,2024-11-30,742,N,VIIRS,n,2,296.94,3.45,D,0,2024-11-30,1,VIIRS_SNPP_SP
29.94409,77.69028,332.1,0.43,0.38,2024-11-30,742,N,VIIRS,n,2,297.18,5.01,D,0,2024-11-30,1,VIIRS_SNPP_SP
29.37422,73.96719,341.41,0.44,0.46,2024-11-30,743,N,VIIRS,n,2,297.24,4.77,D,0,2024-11-30,1,VIIRS_SNPP_SP
29.5872,74.27927,344.52,0.41,0.45,2024-11-30,743,N,VIIRS,n,2,300.09,5.85,D,0,2024-11-30,1,VIIRS_SNPP_SP
29.59885,74.3781,335.4,0.41,0.45,2024-11-30,743,N,VIIRS,n,2,298.5,4.72,D,0,2024-11-30,1,VIIRS_SNPP_SP
29.59971,74.38227,342.69,0.41,0.45,2024-11-30,743,N,VIIRS,n,2,298.35,10.52,D,0,2024-11-30,1,VIIRS_SNPP_SP
29.60806,74.08411,338.17,0.42,0.46,2024-11-30,743,N,VIIRS,n,2,298.59,4.59,D,0,2024-11-30,1,VIIRS_SNPP_SP
29.62343,74.39364,342.64,0.41,0.45,2024-11-30,743,N,VIIRS,n,2,297.15,4.57,D,0,2024-11-30,1,VIIRS_SNPP_SP
29.63063,74.49209,340.07,0.4,0.44,2024-11-30,743,N,VIIRS,n,2,298.49,3.33,D,0,2024-11-30,1,VIIRS_SNPP_SP
29.91008,74.9493,333.85,0.57,0.43,2024-11-30,743,N,VIIRS,n,2,297.18,4.68,D,2,2024-11-30,1,VIIRS_SNPP_SP
30.01128,77.38838,332.3,0.44,0.38,2024-11-30,743,N,VIIRS,n,2,298.2,1.66,D,0,2024-11-30,1,VIIRS_SNPP_SP
30.07975,77.80196,326.63,0.42,0.38,2024-11-30,743,N,VIIRS,n,2,297.62,1.83,D,0,2024-11-30,1,VIIRS_SNPP_SP
30.11936,74.61852,333.43,0.39,0.44,2024-11-30,743,N,VIIRS,n,2,298.46,2.78,D,0,2024-11-30,1,VIIRS_SNPP_SP
30.1357,75.40216,331.32,0.53,0.42,2024-11-30,743,N,VIIRS,n,2,296.86,3.0,D,0,2024-11-30,1,VIIRS_SNPP_SP
30.28751,75.20492,334.71,0.54,0.42,2024-11-30,743,N,VIIRS,n,2,300.9,8.34,D,0,2024-11-30,1,VIIRS_SNPP_SP
30.3808,74.09631,336.58,0.41,0.45,2024-11-30,743,N,VIIRS,n,2,298.25,3.19,D,0,2024-11-30,1,VIIRS_SNPP_SP
30.38931,73.97949,340.9,0.42,0.45,2024-11-30,743,N,VIIRS,n,2,300.27,7.24,D,0,2024-11-30,1,VIIRS_SNPP_SP
30.39121,73.97688,350.24,0.42,0.45,2024-11-30,743,N,VIIRS,n,2,300.26,8.09,D,0,2024-11-30,1,VIIRS_SNPP_SP
30.42074,74.86851,337.94,0.56,0.43,2024-11-30,743,N,VIIRS,n,2,298.78,4.19,D,0,2024-11-30,1,VIIRS_SNPP_SP
30.43052,77.04498,332.47,0.45,0.39,2024-11-30,743,N,VIIRS,n,2,296.79,2.78,D,0,2024-11-30,1,VIIRS_SNPP_SP
30.43217,77.04203,331.14,0.45,0.39,2024-11-30,743,N,VIIRS,n,2,296.36,1.43,D,0,2024-11-30,1,VIIRS_SNPP_SP
30.43567,73.76105,341.64,0.43,0.46,2024-11-30,743,N,VIIRS,n,2,295.16,8.92,D,0,2024-11-30,1,VIIRS_SNPP_SP
30.46128,75.01405,330.4,0.55,0.43,2024-11-30,743,N,VIIRS,n,2,297.11,2.76,D,0,2024-11-30,1,VIIRS_SNPP_SP
30.52417,74.34819,341.28,0.4,0.44,2024-11-30,743,N,VIIRS,n,2,296.5,49.73,D,0,2024-11-30,1,VIIRS_SNPP_SP
30.81858,74.81142,332.3,0.55,0.43,2024-11-30,743,N,VIIRS,n,2,297.63,7.11,D,0,2024-11-30,1,VIIRS_SNPP_SP
30.87335,76.70022,328.37,0.45,0.39,2024-11-30,743,N,VIIRS,l,2,298.52,4.42,D,0,2024-11-30,1,VIIRS_SNPP_SP
30.88378,78.44878,343.68,0.4,0.37,2024-11-30,743,N,VIIRS,n,2,297.15,6.37,D,0,2024-11-30,1,VIIRS_SNPP_SP
30.88451,78.45321,327.75,0.4,0.37,2024-11-30,743,N,VIIRS,n,2,292.49,6.37,D,0,2024-11-30,1,VIIRS_SNPP_SP
30.88718,78.44838,344.89,0.4,0.37,2024-11-30,743,N,VIIRS,n,2,291.84,6.37,D,0,2024-11-30,1,VIIRS_SNPP_SP
30.88813,78.44878,332.68,0.4,0.37,2024-11-30,743,N,VIIRS,n,2,286.69,4.09,D,0,2024-11-30,1,VIIRS_SNPP_SP
30.89177,73.78025,342.1,0.42,0.45,2024-11-30,743,N,VIIRS,n,2,297.49,6.66,D,0,2024-11-30,1,VIIRS_SNPP_SP
30.89462,73.77871,355.98,0.42,0.45,2024-11-30,743,N,VIIRS,n,2,296.73,15.68,D,0,2024-11-30,1,VIIRS_SNPP_SP
30.89587,73.77913,336.07,0.42,0.45,2024-11-30,743,N,VIIRS,n,2,293.61,6.66,D,0,2024-11-30,1,VIIRS_SNPP_SP
30.9457,75.32169,333.43,0.52,0.42,2024-11-30,743,N,VIIRS,n,2,298.6,6.37,D,0,2024-11-30,1,VIIRS_SNPP_SP
30.9521,73.8633,338.86,0.41,0.45,2024-11-30,743,N,VIIRS,n,2,295.12,5.98,D,0,2024-11-30,1,VIIRS_SNPP_SP
30.98752,73.88956,328.37,0.41,0.45,2024-11-30,743,N,VIIRS,n,2,291.54,2.53,D,0,2024-11-30,1,VIIRS_SNPP_SP
31.08168,74.56591,332.7,0.56,0.43,2024-11-30,743,N,VIIRS,n,2,296.8,3.93,D,0,2024-11-30,1,VIIRS_SNPP_SP
31.28314,75.29006,331.55,0.52,0.41,2024-11-30,743,N,VIIRS,n,2,294.32,3.58,D,0,2024-11-30,1,VIIRS_SNPP_SP
31.2869,75.28909,332.15,0.52,0.41,2024-11-30,743,N,VIIRS,n,2,293.66,3.58,D,0,2024-11-30,1,VIIRS_SNPP_SP
31.31191,76.04795,336.17,0.48,0.4,2024-11-30,743,N,VIIRS,n,2,296.69,3.48,D,0,2024-11-30,1,VIIRS_SNPP_SP
31.32227,74.87995,332.26,0.54,0.42,2024-11-30,743,N,VIIRS,n,2,297.2,2.85,D,0,2024-11-30,1,VIIRS_SNPP_SP
31.72749,75.41075,335.75,0.5,0.41,2024-11-30,743,N,VIIRS,n,2,296.51,3.44,D,0,2024-11-30,1,VIIRS_SNPP_SP
31.74943,75.67067,327.68,0.49,0.4,2024-11-30,743,N,VIIRS,n,2,295.31,3.17,D,0,2024-11-30,1,VIIRS_SNPP_SP
31.75467,75.43117,327.14,0.5,0.41,2024-11-30,743,N,VIIRS,n,2,295.95,2.22,D,0,2024-11-30,1,VIIRS_SNPP_SP
31.76737,74.18042,332.06,0.38,0.43,2024-11-30,743,N,VIIRS,n,2,294.45,3.04,D,0,2024-11-30,1,VIIRS_SNPP_SP
32.46663,77.14037,329.52,0.42,0.38,2024-11-30,743,N,VIIRS,n,2,283.43,2.62,D,0,2024-11-30,1,VIIRS_SNPP_SP
32.63992,74.67097,329.41,0.53,0.42,2024-11-30,743,N,VIIRS,n,2,295.86,2.01,D,0,2024-11-30,1,VIIRS_SNPP_SP
32.08583,74.16589,296.75,0.38,0.59,2024-11-30,2006,N,VIIRS,n,2,283.48,0.72,N,2,2024-11-30,1,VIIRS_SNPP_SP
32.08583,74.16745,297.87,0.38,0.59,2024-11-30,2006,N,VIIRS,n,2,282.92,0.55,N,2,2024-11-30,1,VIIRS_SNPP_SP
32.09242,74.15144,298.3,0.38,0.59,2024-11-30,2006,N,VIIRS,n,2,282.5,0.41,N,0,2024-11-30,1,VIIRS_SNPP_SP
32.10198,74.17329,303.88,0.38,0.59,2024-11-30,2006,N,VIIRS,n,2,284.21,0.73,N,2,2024-11-30,1,VIIRS_SNPP_SP
32.32336,76.70689,318.76,0.55,0.51,2024-11-30,2006,N,VIIRS,n,2,274.08,3.43,N,0,2024-11-30,1,VIIRS_SNPP_SP
32.32379,76.702,309.36,0.55,0.51,2024-11-30,2006,N,VIIRS,n,2,274.01,3.91,N,0,2024-11-30,1,VIIRS_SNPP_SP
32.32834,76.70454,300.02,0.55,0.51,2024-11-30,2006,N,VIIRS,n,2,273.52,1.46,N,0,2024-11-30,1,VIIRS_SNPP_SP
28.33716,77.2187,297.91,0.46,0.47,2024-11-30,2007,N,VIIRS,n,2,285.43,0.58,N,0,2024-11-30,1,VIIRS_SNPP_SP
28.745,76.92699,295.68,0.48,0.48,2024-11-30,2007,N,VIIRS,n,2,284.53,0.56,N,2,2024-11-30,1,VIIRS_SNPP_SP
29.12474,75.77682,297.75,0.57,0.52,2024-11-30,2007,N,VIIRS,n,2,287.06,1.04,N,2,2024-11-30,1,VIIRS_SNPP_SP
29.23404,76.52927,306.05,0.51,0.5,2024-11-30,2007,N,VIIRS,n,2,283.95,1.51,N,0,2024-11-30,1,VIIRS_SNPP_SP
29.2348,76.5268,305.51,0.51,0.5,2024-11-30,2007,N,VIIRS,n,2,283.33,1.22,N,0,2024-11-30,1,VIIRS_SNPP_SP
