latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type,query_start_date,query_day_range,source_product
28.02613,78.74445,333.15,0.35,0.57,2020-11-10,711,N,VIIRS,n,2,299.49,2.09,D,0,2020-11-10,5,VIIRS_SNPP_SP
28.62039,77.90765,367.0,0.38,0.59,2020-11-10,711,N,VIIRS,h,2,299.92,7.73,D,0,2020-11-10,5,VIIRS_SNPP_SP
28.62207,77.90676,367.0,0.38,0.59,2020-11-10,711,N,VIIRS,h,2,299.88,8.44,D,0,2020-11-10,5,VIIRS_SNPP_SP
28.63399,78.71837,340.28,0.34,0.56,2020-11-10,711,N,VIIRS,n,2,298.91,1.97,D,0,2020-11-10,5,VIIRS_SNPP_SP
28.6861,77.5285,341.12,0.4,0.6,2020-11-10,711,N,VIIRS,n,2,300.15,4.04,D,0,2020-11-10,5,VIIRS_SNPP_SP
28.69371,78.08627,339.02,0.37,0.58,2020-11-10,711,N,VIIRS,n,2,298.31,2.29,D,0,2020-11-10,5,VIIRS_SNPP_SP
28.77244,78.464,343.13,0.35,0.57,2020-11-10,711,N,VIIRS,n,2,299.53,3.15,D,0,2020-11-10,5,VIIRS_SNPP_SP
28.89807,76.38911,331.18,0.46,0.64,2020-11-10,711,N,VIIRS,n,2,298.25,1.63,D,0,2020-11-10,5,VIIRS_SNPP_SP
29.11336,76.29453,331.85,0.46,0.64,2020-11-10,711,N,VIIRS,n,2,298.36,1.44,D,0,2020-11-10,5,VIIRS_SNPP_SP
29.16847,76.14302,340.66,0.47,0.64,2020-11-10,711,N,VIIRS,n,2,300.94,4.02,D,0,2020-11-10,5,VIIRS_SNPP_SP
29.17204,76.14285,348.38,0.47,0.64,2020-11-10,711,N,VIIRS,n,2,300.34,5.31,D,0,2020-11-10,5,VIIRS_SNPP_SP
29.24897,77.53409,330.88,0.39,0.59,2020-11-10,711,N,VIIRS,n,2,297.33,1.74,D,0,2020-11-10,5,VIIRS_SNPP_SP
29.33889,77.45229,333.32,0.39,0.6,2020-11-10,711,N,VIIRS,n,2,297.55,3.15,D,0,2020-11-10,5,VIIRS_SNPP_SP
29.43677,76.40806,333.35,0.45,0.63,2020-11-10,711,N,VIIRS,n,2,300.96,2.77,D,0,2020-11-10,5,VIIRS_SNPP_SP
29.52458,75.90974,347.27,0.48,0.64,2020-11-10,711,N,VIIRS,n,2,301.08,5.75,D,0,2020-11-10,5,VIIRS_SNPP_SP
29.58988,75.58799,339.5,0.5,0.65,2020-11-10,711,N,VIIRS,n,2,300.45,5.05,D,0,2020-11-10,5,VIIRS_SNPP_SP
29.59045,75.58423,336.96,0.5,0.65,2020-11-10,711,N,VIIRS,n,2,298.74,5.27,D,0,2020-11-10,5,VIIRS_SNPP_SP
29.59211,76.29806,334.63,0.45,0.63,2020-11-10,711,N,VIIRS,n,2,300.12,1.93,D,0,2020-11-10,5,VIIRS_SNPP_SP
29.61972,75.47489,331.63,0.5,0.66,2020-11-10,711,N,VIIRS,n,2,300.52,3.65,D,0,2020-11-10,5,VIIRS_SNPP_SP
29.65041,75.97454,367.0,0.47,0.64,2020-11-10,711,N,VIIRS,h,2,303.81,10.19,D,0,2020-11-10,5,VIIRS_SNPP_SP
29.65564,75.8468,338.28,0.48,0.65,2020-11-10,711,N,VIIRS,n,2,303.41,4.01,D,0,2020-11-10,5,VIIRS_SNPP_SP
29.66375,75.57085,330.07,0.49,0.65,2020-11-10,711,N,VIIRS,n,2,299.98,3.44,D,0,2020-11-10,5,VIIRS_SNPP_SP
29.67738,76.00709,367.0,0.47,0.64,2020-11-10,711,N,VIIRS,h,2,303.2,6.29,D,0,2020-11-10,5,VIIRS_SNPP_SP
29.69306,75.38522,367.0,0.51,0.66,2020-11-10,711,N,VIIRS,h,2,301.54,10.3,D,0,2020-11-10,5,VIIRS_SNPP_SP
29.69474,78.50565,352.58,0.34,0.56,2020-11-10,711,N,VIIRS,n,2,299.25,3.54,D,0,2020-11-10,5,VIIRS_SNPP_SP
29.69978,78.50422,342.23,0.34,0.56,2020-11-10,711,N,VIIRS,n,2,297.68,3.54,D,0,2020-11-10,5,VIIRS_SNPP_SP
29.70412,75.35329,338.49,0.51,0.66,2020-11-10,711,N,VIIRS,n,2,299.89,6.91,D,0,2020-11-10,5,VIIRS_SNPP_SP
29.70547,75.35847,348.83,0.51,0.66,2020-11-10,711,N,VIIRS,n,2,301.54,9.49,D,0,2020-11-10,5,VIIRS_SNPP_SP
29.72453,76.10068,367.0,0.46,0.64,2020-11-10,711,N,VIIRS,h,2,303.28,7.86,D,0,2020-11-10,5,VIIRS_SNPP_SP
29.72538,76.09911,338.46,0.46,0.64,2020-11-10,711,N,VIIRS,n,2,300.13,8.67,D,0,2020-11-10,5,VIIRS_SNPP_SP
29.73368,75.56587,330.25,0.49,0.65,2020-11-10,711,N,VIIRS,n,2,299.83,1.51,D,0,2020-11-10,5,VIIRS_SNPP_SP
29.73647,75.22828,355.31,0.52,0.66,2020-11-10,711,N,VIIRS,n,2,301.57,12.38,D,0,2020-11-10,5,VIIRS_SNPP_SP
29.73664,75.22842,353.35,0.52,0.66,2020-11-10,711,N,VIIRS,n,2,301.19,8.08,D,0,2020-11-10,5,VIIRS_SNPP_SP
29.738,75.2337,330.15,0.52,0.66,2020-11-10,711,N,VIIRS,n,2,300.64,9.15,D,0,2020-11-10,5,VIIRS_SNPP_SP
29.73958,76.11102,342.51,0.46,0.63,2020-11-10,711,N,VIIRS,n,2,303.86,3.4,D,0,2020-11-10,5,VIIRS_SNPP_SP
29.74034,76.10944,337.71,0.46,0.64,2020-11-10,711,N,VIIRS,n,2,303.82,3.19,D,0,2020-11-10,5,VIIRS_SNPP_SP
29.74823,75.29871,352.9,0.51,0.66,2020-11-10,711,N,VIIRS,n,2,300.69,7.22,D,0,2020-11-10,5,VIIRS_SNPP_SP
29.74846,75.29836,352.4,0.51,0.66,2020-11-10,711,N,VIIRS,n,2,300.62,5.69,D,0,2020-11-10,5,VIIRS_SNPP_SP
29.75424,75.74293,348.16,0.48,0.65,2020-11-10,711,N,VIIRS,n,2,303.32,4.7,D,0,2020-11-10,5,VIIRS_SNPP_SP
29.75713,75.60714,333.52,0.49,0.65,2020-11-10,711,N,VIIRS,n,2,302.5,4.26,D,0,2020-11-10,5,VIIRS_SNPP_SP
29.75772,75.74005,335.5,0.48,0.65,2020-11-10,711,N,VIIRS,n,2,300.88,3.65,D,0,2020-11-10,5,VIIRS_SNPP_SP
29.76222,75.9806,332.81,0.47,0.64,2020-11-10,711,N,VIIRS,l,2,302.94,3.03,D,0,2020-11-10,5,VIIRS_SNPP_SP
29.76427,75.36118,335.85,0.51,0.66,2020-11-10,711,N,VIIRS,n,2,301.65,4.78,D,0,2020-11-10,5,VIIRS_SNPP_SP
29.76486,75.36061,334.77,0.51,0.66,2020-11-10,711,N,VIIRS,n,2,301.39,3.59,D,0,2020-11-10,5,VIIRS_SNPP_SP
29.77471,75.60127,367.0,0.49,0.65,2020-11-10,711,N,VIIRS,h,2,304.77,6.94,D,0,2020-11-10,5,VIIRS_SNPP_SP
29.776,75.60627,344.29,0.49,0.65,2020-11-10,711,N,VIIRS,n,2,304.16,6.94,D,0,2020-11-10,5,VIIRS_SNPP_SP
29.77699,75.70863,336.28,0.48,0.65,2020-11-10,711,N,VIIRS,n,2,303.01,3.39,D,0,2020-11-10,5,VIIRS_SNPP_SP
29.7779,76.30891,333.13,0.45,0.63,2020-11-10,711,N,VIIRS,n,2,302.97,2.44,D,0,2020-11-10,5,VIIRS_SNPP_SP
29.77815,76.0678,341.79,0.46,0.64,2020-11-10,711,N,VIIRS,n,2,302.97,3.44,D,0,2020-11-10,5,VIIRS_SNPP_SP
29.78314,76.30616,352.96,0.45,0.63,2020-11-10,711,N,VIIRS,n,2,301.41,6.32,D,0,2020-11-10,5,VIIRS_SNPP_SP
29.78351,75.38245,330.36,0.5,0.66,2020-11-10,711,N,VIIRS,n,2,298.82,3.65,D,0,2020-11-10,5,VIIRS_SNPP_SP
29.78356,76.30709,367.0,0.45,0.63,2020-11-10,711,N,VIIRS,h,2,301.56,7.19,D,0,2020-11-10,5,VIIRS_SNPP_SP
29.78428,76.31074,331.55,0.45,0.63,2020-11-10,711,N,VIIRS,n,2,300.69,6.93,D,0,2020-11-10,5,VIIRS_SNPP_SP
29.78997,75.35784,345.86,0.51,0.66,2020-11-10,711,N,VIIRS,n,2,300.59,5.68,D,0,2020-11-10,5,VIIRS_SNPP_SP
29.79085,75.63932,338.9,0.49,0.65,2020-11-10,711,N,VIIRS,n,2,302.19,4.27,D,0,2020-11-10,5,VIIRS_SNPP_SP
