latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type,query_start_date,query_day_range,source_product
29.59375,76.64256,328.43,0.78,0.78,2022-10-16,654,N,VIIRS,n,2,298.42,4.09,D,0,2022-10-16,5,VIIRS_SNPP_SP
29.71778,76.76703,335.49,0.77,0.77,2022-10-16,654,N,VIIRS,n,2,298.9,5.79,D,0,2022-10-16,5,VIIRS_SNPP_SP
30.01937,76.44124,329.88,0.78,0.78,2022-10-16,654,N,VIIRS,n,2,298.42,5.93,D,0,2022-10-16,5,VIIRS_SNPP_SP
30.02508,76.44449,328.45,0.78,0.78,2022-10-16,654,N,VIIRS,l,2,298.53,5.99,D,0,2022-10-16,5,VIIRS_SNPP_SP
30.79931,76.21051,340.91,0.77,0.77,2022-10-16,654,N,VIIRS,n,2,297.77,8.49,D,0,2022-10-16,5,VIIRS_SNPP_SP
30.80289,76.21011,337.73,0.77,0.77,2022-10-16,654,N,VIIRS,n,2,297.38,7.38,D,0,2022-10-16,5,VIIRS_SNPP_SP
30.82848,76.29723,325.27,0.76,0.77,2022-10-16,654,N,VIIRS,n,2,296.82,4.01,D,0,2022-10-16,5,VIIRS_SNPP_SP
29.19942,76.0669,330.18,0.55,0.51,2022-10-16,834,N,VIIRS,n,2,300.36,3.91,D,0,2022-10-16,5,VIIRS_SNPP_SP
29.31595,74.52841,332.38,0.44,0.46,2022-10-16,834,N,VIIRS,l,2,306.94,2.04,D,0,2022-10-16,5,VIIRS_SNPP_SP
29.40874,75.48718,342.61,0.51,0.49,2022-10-16,834,N,VIIRS,n,2,304.45,6.53,D,0,2022-10-16,5,VIIRS_SNPP_SP
29.41331,75.48663,343.57,0.51,0.49,2022-10-16,834,N,VIIRS,n,2,302.71,6.53,D,0,2022-10-16,5,VIIRS_SNPP_SP
29.49505,77.03209,340.93,0.63,0.54,2022-10-16,834,N,VIIRS,n,2,301.07,3.17,D,0,2022-10-16,5,VIIRS_SNPP_SP
29.49579,75.93426,332.3,0.54,0.51,2022-10-16,834,N,VIIRS,l,2,305.15,2.38,D,0,2022-10-16,5,VIIRS_SNPP_SP
29.51585,76.52221,341.94,0.59,0.53,2022-10-16,834,N,VIIRS,n,2,305.99,9.77,D,0,2022-10-16,5,VIIRS_SNPP_SP
29.51604,76.05294,334.89,0.55,0.51,2022-10-16,834,N,VIIRS,n,2,302.17,1.43,D,0,2022-10-16,5,VIIRS_SNPP_SP
29.51791,76.52122,342.66,0.59,0.53,2022-10-16,834,N,VIIRS,n,2,305.62,13.62,D,0,2022-10-16,5,VIIRS_SNPP_SP
29.52387,76.65215,336.9,0.6,0.53,2022-10-16,834,N,VIIRS,n,2,302.67,3.13,D,0,2022-10-16,5,VIIRS_SNPP_SP
29.55606,76.0193,330.17,0.55,0.51,2022-10-16,834,N,VIIRS,l,2,303.32,4.95,D,0,2022-10-16,5,VIIRS_SNPP_SP
29.55919,76.00157,334.03,0.55,0.51,2022-10-16,834,N,VIIRS,n,2,303.57,4.32,D,0,2022-10-16,5,VIIRS_SNPP_SP
29.5643,77.02451,332.61,0.63,0.54,2022-10-16,834,N,VIIRS,n,2,300.41,5.06,D,0,2022-10-16,5,VIIRS_SNPP_SP
29.57201,77.05715,335.24,0.63,0.54,2022-10-16,834,N,VIIRS,n,2,299.52,3.4,D,0,2022-10-16,5,VIIRS_SNPP_SP
29.60046,76.61846,351.68,0.6,0.53,2022-10-16,834,N,VIIRS,n,2,304.47,10.94,D,0,2022-10-16,5,VIIRS_SNPP_SP
29.60116,75.09821,339.61,0.48,0.48,2022-10-16,834,N,VIIRS,n,2,301.49,5.36,D,0,2022-10-16,5,VIIRS_SNPP_SP
29.6012,75.97732,345.36,0.55,0.51,2022-10-16,834,N,VIIRS,n,2,304.01,8.79,D,0,2022-10-16,5,VIIRS_SNPP_SP
29.60148,76.8621,330.65,0.62,0.54,2022-10-16,834,N,VIIRS,n,2,300.48,4.02,D,0,2022-10-16,5,VIIRS_SNPP_SP
29.60326,75.09981,337.94,0.48,0.48,2022-10-16,834,N,VIIRS,n,2,301.07,6.64,D,0,2022-10-16,5,VIIRS_SNPP_SP
29.61551,75.87247,340.8,0.54,0.51,2022-10-16,834,N,VIIRS,n,2,302.72,5.87,D,0,2022-10-16,5,VIIRS_SNPP_SP
29.61589,75.98137,347.88,0.55,0.51,2022-10-16,834,N,VIIRS,n,2,303.9,8.81,D,0,2022-10-16,5,VIIRS_SNPP_SP
