latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type,query_start_date,query_day_range,source_product
29.52665,74.52708,339.26,0.7,0.75,2020-11-05,705,N,VIIRS,n,2,300.95,4.64,D,0,2020-11-05,5,VIIRS_SNPP_SP
29.53664,74.48392,334.4,0.7,0.75,2020-11-05,705,N,VIIRS,n,2,300.03,5.42,D,0,2020-11-05,5,VIIRS_SNPP_SP
29.53718,74.48635,332.6,0.7,0.75,2020-11-05,705,N,VIIRS,n,2,300.76,5.53,D,0,2020-11-05,5,VIIRS_SNPP_SP
29.62078,75.81302,333.51,0.59,0.7,2020-11-05,705,N,VIIRS,n,2,302.13,4.01,D,0,2020-11-05,5,VIIRS_SNPP_SP
29.64848,78.11269,326.72,0.44,0.62,2020-11-05,705,N,VIIRS,n,2,296.48,2.31,D,0,2020-11-05,5,VIIRS_SNPP_SP
29.66842,76.01462,330.36,0.57,0.69,2020-11-05,705,N,VIIRS,n,2,301.14,3.73,D,0,2020-11-05,5,VIIRS_SNPP_SP
29.68923,75.33842,333.51,0.62,0.72,2020-11-05,705,N,VIIRS,n,2,298.94,3.2,D,0,2020-11-05,5,VIIRS_SNPP_SP
29.69279,75.34009,331.28,0.62,0.72,2020-11-05,705,N,VIIRS,n,2,298.83,4.9,D,0,2020-11-05,5,VIIRS_SNPP_SP
29.72155,76.11071,330.21,0.56,0.69,2020-11-05,705,N,VIIRS,l,2,300.27,7.78,D,0,2020-11-05,5,VIIRS_SNPP_SP
29.73391,76.05584,336.43,0.57,0.69,2020-11-05,705,N,VIIRS,n,2,300.59,4.24,D,0,2020-11-05,5,VIIRS_SNPP_SP
29.74555,75.96595,335.96,0.57,0.69,2020-11-05,705,N,VIIRS,n,2,302.5,3.6,D,0,2020-11-05,5,VIIRS_SNPP_SP
29.74883,75.40105,335.86,0.62,0.71,2020-11-05,705,N,VIIRS,n,2,301.0,4.96,D,0,2020-11-05,5,VIIRS_SNPP_SP
29.75119,75.88645,337.26,0.58,0.7,2020-11-05,705,N,VIIRS,n,2,304.11,6.07,D,0,2020-11-05,5,VIIRS_SNPP_SP
29.75584,75.34987,346.13,0.62,0.71,2020-11-05,705,N,VIIRS,n,2,300.51,6.62,D,0,2020-11-05,5,VIIRS_SNPP_SP
29.75695,75.88705,331.23,0.58,0.7,2020-11-05,705,N,VIIRS,l,2,301.35,6.51,D,0,2020-11-05,5,VIIRS_SNPP_SP
29.76097,75.74541,332.65,0.59,0.7,2020-11-05,705,N,VIIRS,n,2,301.59,3.89,D,0,2020-11-05,5,VIIRS_SNPP_SP
29.76177,75.95656,339.31,0.57,0.69,2020-11-05,705,N,VIIRS,n,2,303.71,5.43,D,0,2020-11-05,5,VIIRS_SNPP_SP
29.76408,75.93381,330.45,0.58,0.69,2020-11-05,705,N,VIIRS,n,2,303.37,14.43,D,0,2020-11-05,5,VIIRS_SNPP_SP
29.76425,75.95951,342.01,0.57,0.69,2020-11-05,705,N,VIIRS,n,2,304.23,8.6,D,0,2020-11-05,5,VIIRS_SNPP_SP
29.76568,75.93968,367.0,0.58,0.69,2020-11-05,705,N,VIIRS,h,2,306.74,13.95,D,0,2020-11-05,5,VIIRS_SNPP_SP
29.76953,75.93449,356.52,0.58,0.69,2020-11-05,705,N,VIIRS,n,2,304.79,15.41,D,0,2020-11-05,5,VIIRS_SNPP_SP
29.77003,75.70242,330.76,0.59,0.7,2020-11-05,705,N,VIIRS,n,2,301.57,3.66,D,0,2020-11-05,5,VIIRS_SNPP_SP
29.7711,75.9404,356.13,0.58,0.69,2020-11-05,705,N,VIIRS,n,2,303.61,15.41,D,0,2020-11-05,5,VIIRS_SNPP_SP
