latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type,query_start_date,query_day_range,source_product
27.67429,78.62337,330.54,0.49,0.4,2024-11-25,735,N,VIIRS,n,2,299.98,2.51,D,0,2024-11-25,5,VIIRS_SNPP_SP
27.8723,77.14336,330.46,0.57,0.43,2024-11-25,735,N,VIIRS,n,2,298.92,2.93,D,0,2024-11-25,5,VIIRS_SNPP_SP
28.06836,78.70068,331.74,0.48,0.4,2024-11-25,735,N,VIIRS,n,2,298.56,3.4,D,0,2024-11-25,5,VIIRS_SNPP_SP
28.20978,75.67224,334.67,0.45,0.47,2024-11-25,736,N,VIIRS,n,2,303.14,3.93,D,0,2024-11-25,5,VIIRS_SNPP_SP
28.21072,75.67682,332.33,0.45,0.47,2024-11-25,736,N,VIIRS,n,2,302.8,3.93,D,0,2024-11-25,5,VIIRS_SNPP_SP
28.69409,78.36332,332.21,0.48,0.4,2024-11-25,736,N,VIIRS,n,2,297.87,3.11,D,0,2024-11-25,5,VIIRS_SNPP_SP
29.01047,78.71494,329.04,0.46,0.39,2024-11-25,736,N,VIIRS,n,2,297.58,1.66,D,0,2024-11-25,5,VIIRS_SNPP_SP
29.0321,77.52338,328.42,0.52,0.42,2024-11-25,736,N,VIIRS,n,2,295.88,3.33,D,0,2024-11-25,5,VIIRS_SNPP_SP
29.07798,75.80939,348.22,0.43,0.46,2024-11-25,736,N,VIIRS,n,2,299.6,4.79,D,0,2024-11-25,5,VIIRS_SNPP_SP
29.12406,76.26085,334.16,0.41,0.45,2024-11-25,736,N,VIIRS,n,2,297.1,2.82,D,0,2024-11-25,5,VIIRS_SNPP_SP
29.19054,76.30044,331.15,0.4,0.44,2024-11-25,736,N,VIIRS,n,2,298.74,2.96,D,0,2024-11-25,5,VIIRS_SNPP_SP
29.22643,77.54298,333.3,0.52,0.42,2024-11-25,736,N,VIIRS,n,2,296.17,4.89,D,0,2024-11-25,5,VIIRS_SNPP_SP
29.23651,76.23241,340.12,0.4,0.45,2024-11-25,736,N,VIIRS,n,2,298.64,2.12,D,0,2024-11-25,5,VIIRS_SNPP_SP
29.25161,76.48025,331.04,0.39,0.44,2024-11-25,736,N,VIIRS,n,2,298.64,2.89,D,0,2024-11-25,5,VIIRS_SNPP_SP
29.32027,76.52961,340.11,0.39,0.44,2024-11-25,736,N,VIIRS,n,2,298.45,3.0,D,0,2024-11-25,5,VIIRS_SNPP_SP
29.33443,76.60056,344.09,0.39,0.44,2024-11-25,736,N,VIIRS,n,2,302.15,9.01,D,0,2024-11-25,5,VIIRS_SNPP_SP
29.34745,73.89732,345.06,0.54,0.51,2024-11-25,736,N,VIIRS,n,2,301.38,7.78,D,0,2024-11-25,5,VIIRS_SNPP_SP
29.43453,77.19416,330.36,0.54,0.42,2024-11-25,736,N,VIIRS,n,2,297.08,6.21,D,0,2024-11-25,5,VIIRS_SNPP_SP
29.43462,77.19167,332.6,0.54,0.42,2024-11-25,736,N,VIIRS,n,2,298.43,4.84,D,0,2024-11-25,5,VIIRS_SNPP_SP
29.49228,78.02233,327.4,0.49,0.4,2024-11-25,736,N,VIIRS,n,2,295.05,1.71,D,0,2024-11-25,5,VIIRS_SNPP_SP
29.49574,74.11893,339.93,0.53,0.5,2024-11-25,736,N,VIIRS,n,2,301.0,17.06,D,0,2024-11-25,5,VIIRS_SNPP_SP
29.50172,75.52573,338.47,0.44,0.46,2024-11-25,736,N,VIIRS,n,2,300.67,5.82,D,0,2024-11-25,5,VIIRS_SNPP_SP
29.51945,74.88618,330.17,0.47,0.48,2024-11-25,736,N,VIIRS,l,2,300.49,2.37,D,0,2024-11-25,5,VIIRS_SNPP_SP
29.53664,77.34816,336.52,0.53,0.42,2024-11-25,736,N,VIIRS,n,2,296.7,7.61,D,0,2024-11-25,5,VIIRS_SNPP_SP
29.57014,78.48275,328.29,0.47,0.39,2024-11-25,736,N,VIIRS,n,2,298.32,1.76,D,0,2024-11-25,5,VIIRS_SNPP_SP
