latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type,query_start_date,query_day_range,source_product
28.09463,77.58289,336.1,0.54,0.42,2020-11-30,736,N,VIIRS,n,2,304.19,8.7,D,0,2020-11-30,1,VIIRS_SNPP_SP
28.13681,77.73327,336.79,0.53,0.42,2020-11-30,736,N,VIIRS,n,2,299.06,4.82,D,0,2020-11-30,1,VIIRS_SNPP_SP
28.13904,77.73519,338.3,0.53,0.42,2020-11-30,736,N,VIIRS,n,2,300.13,4.53,D,0,2020-11-30,1,VIIRS_SNPP_SP
28.43006,78.23694,331.89,0.49,0.41,2020-11-30,736,N,VIIRS,n,2,298.81,2.42,D,0,2020-11-30,1,VIIRS_SNPP_SP
28.52154,77.82687,330.48,0.52,0.41,2020-11-30,736,N,VIIRS,n,2,297.3,2.45,D,0,2020-11-30,1,VIIRS_SNPP_SP
28.66514,77.94662,334.08,0.51,0.41,2020-11-30,736,N,VIIRS,n,2,299.57,4.07,D,0,2020-11-30,1,VIIRS_SNPP_SP
28.67563,78.00285,345.21,0.5,0.41,2020-11-30,736,N,VIIRS,n,2,298.85,6.25,D,0,2020-11-30,1,VIIRS_SNPP_SP
28.74469,76.37384,331.76,0.4,0.45,2020-11-30,736,N,VIIRS,n,2,298.66,1.25,D,0,2020-11-30,1,VIIRS_SNPP_SP
28.75181,78.43652,329.63,0.48,0.4,2020-11-30,736,N,VIIRS,n,2,295.63,2.47,D,0,2020-11-30,1,VIIRS_SNPP_SP
28.76533,78.23862,332.89,0.49,0.4,2020-11-30,736,N,VIIRS,n,2,297.79,2.63,D,0,2020-11-30,1,VIIRS_SNPP_SP
28.88337,77.36792,333.79,0.54,0.42,2020-11-30,736,N,VIIRS,n,2,298.67,4.85,D,0,2020-11-30,1,VIIRS_SNPP_SP
28.89526,77.32507,332.1,0.54,0.42,2020-11-30,736,N,VIIRS,n,2,299.61,5.44,D,0,2020-11-30,1,VIIRS_SNPP_SP
28.90468,78.26775,333.88,0.48,0.4,2020-11-30,736,N,VIIRS,n,2,296.82,3.25,D,0,2020-11-30,1,VIIRS_SNPP_SP
28.95877,76.37149,334.56,0.4,0.44,2020-11-30,736,N,VIIRS,n,2,300.83,1.98,D,0,2020-11-30,1,VIIRS_SNPP_SP
29.08684,78.33416,328.85,0.48,0.4,2020-11-30,736,N,VIIRS,n,2,295.61,3.03,D,0,2020-11-30,1,VIIRS_SNPP_SP
29.10772,77.46027,327.08,0.53,0.42,2020-11-30,736,N,VIIRS,n,2,297.74,4.6,D,0,2020-11-30,1,VIIRS_SNPP_SP
29.10874,77.46563,330.87,0.53,0.42,2020-11-30,736,N,VIIRS,n,2,298.26,4.6,D,0,2020-11-30,1,VIIRS_SNPP_SP
29.13404,77.13213,330.55,0.55,0.42,2020-11-30,736,N,VIIRS,n,2,296.32,2.96,D,0,2020-11-30,1,VIIRS_SNPP_SP
29.13511,77.13768,328.88,0.54,0.42,2020-11-30,736,N,VIIRS,n,2,297.94,4.6,D,0,2020-11-30,1,VIIRS_SNPP_SP
29.16289,77.56358,334.74,0.52,0.41,2020-11-30,736,N,VIIRS,n,2,297.16,4.2,D,0,2020-11-30,1,VIIRS_SNPP_SP
29.17063,77.855,336.91,0.5,0.41,2020-11-30,736,N,VIIRS,n,2,296.49,4.91,D,0,2020-11-30,1,VIIRS_SNPP_SP
29.22166,76.85518,332.89,0.56,0.43,2020-11-30,736,N,VIIRS,n,2,299.71,5.34,D,0,2020-11-30,1,VIIRS_SNPP_SP
29.25313,77.3773,340.7,0.53,0.42,2020-11-30,736,N,VIIRS,n,2,296.3,7.15,D,0,2020-11-30,1,VIIRS_SNPP_SP
29.27692,77.07772,334.12,0.55,0.42,2020-11-30,736,N,VIIRS,n,2,301.19,8.63,D,0,2020-11-30,1,VIIRS_SNPP_SP
29.34425,77.59754,327.85,0.51,0.41,2020-11-30,736,N,VIIRS,n,2,295.81,3.56,D,0,2020-11-30,1,VIIRS_SNPP_SP
29.34888,73.95,332.11,0.54,0.51,2020-11-30,736,N,VIIRS,n,2,300.88,4.14,D,0,2020-11-30,1,VIIRS_SNPP_SP
29.36209,77.39938,328.46,0.52,0.42,2020-11-30,736,N,VIIRS,n,2,295.62,3.16,D,0,2020-11-30,1,VIIRS_SNPP_SP
29.38172,76.88454,328.25,0.56,0.43,2020-11-30,736,N,VIIRS,n,2,299.99,4.27,D,0,2020-11-30,1,VIIRS_SNPP_SP
29.3851,76.88748,332.2,0.56,0.43,2020-11-30,736,N,VIIRS,n,2,299.52,3.6,D,0,2020-11-30,1,VIIRS_SNPP_SP
29.42499,76.54472,329.9,0.39,0.44,2020-11-30,736,N,VIIRS,n,2,295.71,1.98,D,0,2020-11-30,1,VIIRS_SNPP_SP
29.44933,77.24,333.49,0.53,0.42,2020-11-30,736,N,VIIRS,n,2,297.49,10.33,D,0,2020-11-30,1,VIIRS_SNPP_SP
29.47123,77.60775,326.78,0.51,0.41,2020-11-30,736,N,VIIRS,n,2,295.36,4.1,D,0,2020-11-30,1,VIIRS_SNPP_SP
29.49615,74.81557,336.65,0.48,0.48,2020-11-30,736,N,VIIRS,n,2,300.26,3.8,D,0,2020-11-30,1,VIIRS_SNPP_SP
29.50295,74.76412,339.93,0.48,0.48,2020-11-30,736,N,VIIRS,n,2,300.54,4.5,D,0,2020-11-30,1,VIIRS_SNPP_SP
29.50438,74.76675,344.12,0.48,0.48,2020-11-30,736,N,VIIRS,n,2,300.76,7.19,D,0,2020-11-30,1,VIIRS_SNPP_SP
29.50836,75.74548,340.23,0.42,0.45,2020-11-30,736,N,VIIRS,n,2,300.71,2.46,D,0,2020-11-30,1,VIIRS_SNPP_SP
29.52823,75.31508,340.39,0.45,0.47,2020-11-30,736,N,VIIRS,n,2,301.27,6.65,D,0,2020-11-30,1,VIIRS_SNPP_SP
29.55428,76.19717,340.61,0.4,0.44,2020-11-30,736,N,VIIRS,n,2,298.55,2.74,D,0,2020-11-30,1,VIIRS_SNPP_SP
29.57101,75.0885,335.94,0.46,0.47,2020-11-30,736,N,VIIRS,n,2,298.5,3.47,D,0,2020-11-30,1,VIIRS_SNPP_SP
29.60624,75.05586,339.78,0.46,0.47,2020-11-30,736,N,VIIRS,n,2,296.53,5.08,D,0,2020-11-30,1,VIIRS_SNPP_SP
29.62008,78.37071,326.91,0.47,0.4,2020-11-30,736,N,VIIRS,n,2,297.23,1.79,D,0,2020-11-30,1,VIIRS_SNPP_SP
29.62691,76.58768,330.04,0.57,0.43,2020-11-30,736,N,VIIRS,n,2,296.39,3.43,D,0,2020-11-30,1,VIIRS_SNPP_SP
29.65856,75.15517,331.72,0.45,0.47,2020-11-30,736,N,VIIRS,n,2,298.81,2.32,D,0,2020-11-30,1,VIIRS_SNPP_SP
29.73422,77.476,334.2,0.51,0.41,2020-11-30,736,N,VIIRS,n,2,294.91,5.15,D,0,2020-11-30,1,VIIRS_SNPP_SP
29.73998,77.48555,328.2,0.51,0.41,2020-11-30,736,N,VIIRS,n,2,294.72,1.76,D,0,2020-11-30,1,VIIRS_SNPP_SP
29.8476,77.80911,337.89,0.49,0.41,2020-11-30,736,N,VIIRS,n,2,295.14,4.79,D,0,2020-11-30,1,VIIRS_SNPP_SP
29.86889,77.68959,325.25,0.5,0.41,2020-11-30,736,N,VIIRS,n,2,295.44,1.78,D,0,2020-11-30,1,VIIRS_SNPP_SP
29.91302,77.87208,330.42,0.49,0.4,2020-11-30,736,N,VIIRS,n,2,295.97,4.94,D,0,2020-11-30,1,VIIRS_SNPP_SP
29.91436,77.86898,333.42,0.49,0.4,2020-11-30,736,N,VIIRS,n,2,297.3,5.6,D,0,2020-11-30,1,VIIRS_SNPP_SP
29.92312,77.60648,330.69,0.5,0.41,2020-11-30,736,N,VIIRS,n,2,296.13,2.81,D,0,2020-11-30,1,VIIRS_SNPP_SP
29.92376,74.57436,330.75,0.48,0.48,2020-11-30,736,N,VIIRS,n,2,299.72,2.5,D,0,2020-11-30,1,VIIRS_SNPP_SP
29.92422,77.63316,334.89,0.5,0.41,2020-11-30,736,N,VIIRS,n,2,295.47,5.85,D,0,2020-11-30,1,VIIRS_SNPP_SP
29.94789,74.55719,335.52,0.48,0.48,2020-11-30,736,N,VIIRS,n,2,302.2,3.42,D,0,2020-11-30,1,VIIRS_SNPP_SP
30.02153,78.70432,330.59,0.45,0.39,2020-11-30,736,N,VIIRS,n,2,298.99,3.37,D,0,2020-11-30,1,VIIRS_SNPP_SP
30.11479,74.37866,334.45,0.49,0.49,2020-11-30,736,N,VIIRS,n,2,299.25,5.71,D,0,2020-11-30,1,VIIRS_SNPP_SP
30.25593,78.77637,328.84,0.44,0.39,2020-11-30,736,N,VIIRS,n,2,298.1,3.25,D,0,2020-11-30,1,VIIRS_SNPP_SP
30.25695,74.02129,332.27,0.51,0.49,2020-11-30,736,N,VIIRS,n,2,297.94,1.49,D,0,2020-11-30,1,VIIRS_SNPP_SP
30.29386,73.99398,334.86,0.51,0.5,2020-11-30,736,N,VIIRS,n,2,301.42,3.66,D,0,2020-11-30,1,VIIRS_SNPP_SP
30.30647,74.24866,339.69,0.5,0.49,2020-11-30,736,N,VIIRS,n,2,302.63,10.23,D,0,2020-11-30,1,VIIRS_SNPP_SP
30.3843,75.1104,340.22,0.44,0.46,2020-11-30,736,N,VIIRS,n,2,301.46,9.13,D,0,2020-11-30,1,VIIRS_SNPP_SP
