latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type,query_start_date,query_day_range,source_product
28.55993,77.66727,336.88,0.53,0.5,2023-11-15,827,N,VIIRS,n,2,298.52,5.01,D,0,2023-11-15,5,VIIRS_SNPP_SP
28.77542,78.00964,333.8,0.56,0.52,2023-11-15,827,N,VIIRS,n,2,297.78,2.43,D,0,2023-11-15,5,VIIRS_SNPP_SP
28.81349,77.52576,341.42,0.53,0.5,2023-11-15,827,N,VIIRS,n,2,300.08,12.54,D,0,2023-11-15,5,VIIRS_SNPP_SP
28.91079,76.46573,336.96,0.46,0.47,2023-11-15,827,N,VIIRS,n,2,299.62,3.37,D,0,2023-11-15,5,VIIRS_SNPP_SP
29.0091,76.69176,338.32,0.47,0.48,2023-11-15,827,N,VIIRS,n,2,298.9,3.73,D,0,2023-11-15,5,VIIRS_SNPP_SP
29.00938,76.34467,330.89,0.45,0.47,2023-11-15,827,N,VIIRS,n,2,297.36,2.86,D,0,2023-11-15,5,VIIRS_SNPP_SP
29.17141,76.05262,340.66,0.43,0.46,2023-11-15,827,N,VIIRS,n,2,301.65,11.99,D,0,2023-11-15,5,VIIRS_SNPP_SP
29.17336,76.05613,340.55,0.43,0.46,2023-11-15,827,N,VIIRS,n,2,298.67,15.54,D,0,2023-11-15,5,VIIRS_SNPP_SP
29.17567,76.05206,345.84,0.43,0.46,2023-11-15,827,N,VIIRS,n,2,303.14,11.99,D,0,2023-11-15,5,VIIRS_SNPP_SP
29.21848,73.52497,332.8,0.48,0.4,2023-11-15,827,N,VIIRS,l,2,303.3,2.44,D,0,2023-11-15,5,VIIRS_SNPP_SP
29.23197,73.54317,336.43,0.48,0.4,2023-11-15,827,N,VIIRS,n,2,303.41,5.08,D,0,2023-11-15,5,VIIRS_SNPP_SP
29.24058,73.552,331.97,0.48,0.4,2023-11-15,827,N,VIIRS,n,2,300.96,1.82,D,0,2023-11-15,5,VIIRS_SNPP_SP
29.2831,73.62209,330.18,0.49,0.4,2023-11-15,827,N,VIIRS,n,2,299.08,1.72,D,0,2023-11-15,5,VIIRS_SNPP_SP
29.28648,75.67591,346.72,0.42,0.45,2023-11-15,827,N,VIIRS,n,2,302.51,4.83,D,0,2023-11-15,5,VIIRS_SNPP_SP
29.34019,73.65442,333.65,0.49,0.4,2023-11-15,827,N,VIIRS,n,2,299.68,3.12,D,0,2023-11-15,5,VIIRS_SNPP_SP
29.34093,73.7843,338.81,0.5,0.41,2023-11-15,827,N,VIIRS,n,2,302.65,6.38,D,0,2023-11-15,5,VIIRS_SNPP_SP
29.35294,73.94628,332.46,0.51,0.41,2023-11-15,827,N,VIIRS,n,2,300.13,1.17,D,0,2023-11-15,5,VIIRS_SNPP_SP
29.35357,73.95152,346.31,0.51,0.41,2023-11-15,827,N,VIIRS,n,2,301.36,9.12,D,0,2023-11-15,5,VIIRS_SNPP_SP
29.35721,73.69543,349.55,0.49,0.41,2023-11-15,827,N,VIIRS,n,2,304.08,10.72,D,0,2023-11-15,5,VIIRS_SNPP_SP
29.36155,73.69995,335.38,0.49,0.41,2023-11-15,827,N,VIIRS,n,2,302.57,6.44,D,0,2023-11-15,5,VIIRS_SNPP_SP
29.36589,73.70447,337.61,0.49,0.41,2023-11-15,827,N,VIIRS,n,2,305.18,9.02,D,0,2023-11-15,5,VIIRS_SNPP_SP
29.3664,73.74087,336.41,0.5,0.41,2023-11-15,827,N,VIIRS,n,2,300.42,3.4,D,0,2023-11-15,5,VIIRS_SNPP_SP
29.37314,75.6078,334.18,0.41,0.45,2023-11-15,827,N,VIIRS,n,2,300.48,1.41,D,0,2023-11-15,5,VIIRS_SNPP_SP
29.39058,74.01278,333.51,0.51,0.41,2023-11-15,827,N,VIIRS,n,2,301.0,4.56,D,0,2023-11-15,5,VIIRS_SNPP_SP
29.39276,73.93206,338.15,0.51,0.41,2023-11-15,827,N,VIIRS,n,2,300.83,3.57,D,0,2023-11-15,5,VIIRS_SNPP_SP
29.40023,73.96297,336.02,0.51,0.41,2023-11-15,827,N,VIIRS,n,2,301.51,4.33,D,0,2023-11-15,5,VIIRS_SNPP_SP
29.40156,73.94137,332.26,0.51,0.41,2023-11-15,827,N,VIIRS,n,2,302.05,3.41,D,0,2023-11-15,5,VIIRS_SNPP_SP
29.44564,74.05299,343.25,0.51,0.41,2023-11-15,827,N,VIIRS,n,2,309.72,36.21,D,0,2023-11-15,5,VIIRS_SNPP_SP
29.44627,74.05832,334.69,0.51,0.41,2023-11-15,827,N,VIIRS,n,2,301.84,17.04,D,0,2023-11-15,5,VIIRS_SNPP_SP
29.46279,74.03416,345.75,0.51,0.41,2023-11-15,827,N,VIIRS,n,2,301.75,7.71,D,0,2023-11-15,5,VIIRS_SNPP_SP
29.46659,74.03357,344.07,0.51,0.41,2023-11-15,827,N,VIIRS,n,2,302.16,11.68,D,0,2023-11-15,5,VIIRS_SNPP_SP
29.46914,74.08744,341.05,0.52,0.41,2023-11-15,827,N,VIIRS,n,2,314.42,50.72,D,0,2023-11-15,5,VIIRS_SNPP_SP
29.47296,74.08686,342.13,0.52,0.41,2023-11-15,827,N,VIIRS,n,2,301.38,13.74,D,0,2023-11-15,5,VIIRS_SNPP_SP
29.47359,74.09221,347.13,0.52,0.41,2023-11-15,827,N,VIIRS,n,2,302.97,13.74,D,0,2023-11-15,5,VIIRS_SNPP_SP
29.48044,74.41847,332.95,0.54,0.42,2023-11-15,827,N,VIIRS,n,2,300.48,5.28,D,0,2023-11-15,5,VIIRS_SNPP_SP
29.49597,74.18186,332.18,0.52,0.42,2023-11-15,827,N,VIIRS,n,2,299.35,2.18,D,0,2023-11-15,5,VIIRS_SNPP_SP
29.4972,74.12683,336.48,0.52,0.41,2023-11-15,827,N,VIIRS,n,2,301.46,4.3,D,0,2023-11-15,5,VIIRS_SNPP_SP
29.50978,75.1958,336.79,0.39,0.44,2023-11-15,827,N,VIIRS,n,2,300.47,2.9,D,0,2023-11-15,5,VIIRS_SNPP_SP
29.51046,75.19563,331.49,0.39,0.44,2023-11-15,827,N,VIIRS,n,2,300.1,1.91,D,0,2023-11-15,5,VIIRS_SNPP_SP
29.5149,74.1602,338.89,0.52,0.42,2023-11-15,827,N,VIIRS,n,2,300.73,3.92,D,0,2023-11-15,5,VIIRS_SNPP_SP
29.51597,75.24476,343.4,0.4,0.44,2023-11-15,827,N,VIIRS,n,2,305.41,7.14,D,0,2023-11-15,5,VIIRS_SNPP_SP
29.51729,76.72332,336.41,0.48,0.48,2023-11-15,827,N,VIIRS,n,2,301.94,3.13,D,0,2023-11-15,5,VIIRS_SNPP_SP
29.51895,74.9021,332.9,0.57,0.43,2023-11-15,827,N,VIIRS,n,2,301.44,4.73,D,0,2023-11-15,5,VIIRS_SNPP_SP
29.51905,75.24443,346.94,0.4,0.44,2023-11-15,827,N,VIIRS,n,2,302.88,14.12,D,0,2023-11-15,5,VIIRS_SNPP_SP
29.52005,75.24418,336.74,0.4,0.44,2023-11-15,827,N,VIIRS,n,2,300.7,7.14,D,0,2023-11-15,5,VIIRS_SNPP_SP
29.52017,74.9501,338.31,0.57,0.43,2023-11-15,827,N,VIIRS,n,2,300.71,5.0,D,0,2023-11-15,5,VIIRS_SNPP_SP
29.52618,74.22472,339.33,0.53,0.42,2023-11-15,827,N,VIIRS,n,2,301.21,8.37,D,0,2023-11-15,5,VIIRS_SNPP_SP
29.53244,74.59383,335.16,0.55,0.43,2023-11-15,827,N,VIIRS,n,2,301.6,4.93,D,0,2023-11-15,5,VIIRS_SNPP_SP
29.53326,74.21812,342.99,0.52,0.42,2023-11-15,827,N,VIIRS,n,2,300.41,4.85,D,0,2023-11-15,5,VIIRS_SNPP_SP
29.53374,74.57053,334.73,0.55,0.42,2023-11-15,827,N,VIIRS,n,2,303.3,5.88,D,0,2023-11-15,5,VIIRS_SNPP_SP
29.53896,75.80389,337.11,0.42,0.46,2023-11-15,827,N,VIIRS,n,2,302.7,2.97,D,0,2023-11-15,5,VIIRS_SNPP_SP
29.54998,74.50493,333.74,0.54,0.42,2023-11-15,827,N,VIIRS,n,2,301.06,3.37,D,0,2023-11-15,5,VIIRS_SNPP_SP
29.5503,74.50849,335.97,0.54,0.42,2023-11-15,827,N,VIIRS,n,2,300.47,6.14,D,0,2023-11-15,5,VIIRS_SNPP_SP
29.5598,75.64121,336.93,0.42,0.45,2023-11-15,827,N,VIIRS,n,2,302.74,4.02,D,0,2023-11-15,5,VIIRS_SNPP_SP
29.56041,75.64164,341.82,0.42,0.45,2023-11-15,827,N,VIIRS,n,2,302.43,3.54,D,0,2023-11-15,5,VIIRS_SNPP_SP
29.56463,74.25227,338.01,0.53,0.42,2023-11-15,827,N,VIIRS,n,2,302.98,26.57,D,0,2023-11-15,5,VIIRS_SNPP_SP
