latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type,query_start_date,query_day_range,source_product
27.89189,77.44212,333.32,0.52,0.67,2022-10-26,706,N,VIIRS,n,2,298.84,4.54,D,0,2022-10-26,5,VIIRS_SNPP_SP
29.44843,75.57111,330.26,0.61,0.71,2022-10-26,706,N,VIIRS,n,2,299.27,4.33,D,0,2022-10-26,5,VIIRS_SNPP_SP
29.44858,75.57007,332.96,0.61,0.71,2022-10-26,706,N,VIIRS,n,2,299.04,4.44,D,0,2022-10-26,5,VIIRS_SNPP_SP
29.63838,76.17764,345.26,0.55,0.68,2022-10-26,706,N,VIIRS,n,2,301.72,10.93,D,0,2022-10-26,5,VIIRS_SNPP_SP
29.64169,76.17677,354.14,0.55,0.68,2022-10-26,706,N,VIIRS,n,2,301.76,8.98,D,0,2022-10-26,5,VIIRS_SNPP_SP
29.66181,76.00095,353.0,0.57,0.69,2022-10-26,706,N,VIIRS,n,2,301.23,8.91,D,0,2022-10-26,5,VIIRS_SNPP_SP
29.70461,76.60516,351.8,0.52,0.67,2022-10-26,706,N,VIIRS,n,2,299.0,9.4,D,0,2022-10-26,5,VIIRS_SNPP_SP
29.70815,76.81622,329.66,0.51,0.66,2022-10-26,706,N,VIIRS,n,2,298.91,4.1,D,0,2022-10-26,5,VIIRS_SNPP_SP
29.75869,76.0022,330.26,0.56,0.69,2022-10-26,706,N,VIIRS,n,2,299.42,2.48,D,0,2022-10-26,5,VIIRS_SNPP_SP
29.8019,76.01229,334.2,0.56,0.69,2022-10-26,706,N,VIIRS,n,2,299.73,4.07,D,0,2022-10-26,5,VIIRS_SNPP_SP
29.80554,76.01444,334.64,0.56,0.69,2022-10-26,706,N,VIIRS,n,2,299.57,5.82,D,0,2022-10-26,5,VIIRS_SNPP_SP
29.83527,75.11691,335.4,0.63,0.72,2022-10-26,706,N,VIIRS,n,2,300.44,5.44,D,0,2022-10-26,5,VIIRS_SNPP_SP
29.84062,75.1362,342.32,0.63,0.72,2022-10-26,706,N,VIIRS,n,2,299.97,4.5,D,0,2022-10-26,5,VIIRS_SNPP_SP
29.87181,76.06013,333.49,0.56,0.68,2022-10-26,706,N,VIIRS,n,2,301.65,3.74,D,0,2022-10-26,5,VIIRS_SNPP_SP
29.87312,76.1646,336.92,0.55,0.68,2022-10-26,706,N,VIIRS,n,2,300.28,4.71,D,0,2022-10-26,5,VIIRS_SNPP_SP
29.88792,76.269,333.03,0.54,0.68,2022-10-26,706,N,VIIRS,n,2,299.77,3.43,D,0,2022-10-26,5,VIIRS_SNPP_SP
29.93008,75.33361,333.4,0.61,0.71,2022-10-26,706,N,VIIRS,n,2,298.45,3.32,D,0,2022-10-26,5,VIIRS_SNPP_SP
29.94121,76.59036,332.11,0.52,0.67,2022-10-26,706,N,VIIRS,n,2,300.52,3.58,D,0,2022-10-26,5,VIIRS_SNPP_SP
29.95312,75.878,346.73,0.57,0.69,2022-10-26,706,N,VIIRS,n,2,300.06,5.28,D,0,2022-10-26,5,VIIRS_SNPP_SP
29.9639,76.14227,331.87,0.55,0.68,2022-10-26,706,N,VIIRS,n,2,299.39,8.15,D,0,2022-10-26,5,VIIRS_SNPP_SP
29.96541,76.14784,367.0,0.55,0.68,2022-10-26,706,N,VIIRS,h,2,304.07,8.15,D,0,2022-10-26,5,VIIRS_SNPP_SP
29.9678,76.14404,367.0,0.55,0.68,2022-10-26,706,N,VIIRS,h,2,300.0,17.62,D,0,2022-10-26,5,VIIRS_SNPP_SP
29.96928,76.14965,367.0,0.55,0.68,2022-10-26,706,N,VIIRS,h,2,301.48,20.55,D,0,2022-10-26,5,VIIRS_SNPP_SP
