latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
29.50785,74.59712,335.68,0.41,0.37,2023-11-05,815,N,VIIRS,n,2,302.95,3.31,D,0
29.51205,76.20167,340.13,0.46,0.39,2023-11-05,815,N,VIIRS,n,2,302.7,4.98,D,0
29.52281,76.2586,331.95,0.46,0.39,2023-11-05,815,N,VIIRS,n,2,302.16,3.08,D,0
29.52335,74.99011,332.33,0.42,0.38,2023-11-05,815,N,VIIRS,n,2,302.07,3.58,D,0
29.52709,76.23342,333.6,0.46,0.39,2023-11-05,815,N,VIIRS,n,2,302.99,3.35,D,0
29.53553,74.51909,342.91,0.41,0.37,2023-11-05,815,N,VIIRS,n,2,303.49,7.25,D,0
29.54009,74.52686,330.14,0.41,0.37,2023-11-05,815,N,VIIRS,n,2,301.15,4.92,D,0
29.54349,74.52625,351,0.41,0.37,2023-11-05,815,N,VIIRS,n,2,302.91,4.92,D,0
29.54586,76.06049,341.97,0.46,0.39,2023-11-05,815,N,VIIRS,n,2,306.43,7.76,D,0
29.54747,74.52984,340.66,0.41,0.37,2023-11-05,815,N,VIIRS,n,2,303.52,4.69,D,0
29.54983,75.90907,331.98,0.45,0.39,2023-11-05,815,N,VIIRS,n,2,303.45,1.93,D,0
29.56216,74.51003,332.64,0.41,0.37,2023-11-05,815,N,VIIRS,n,2,301.72,3.1,D,0
29.56556,74.50943,331.83,0.41,0.37,2023-11-05,815,N,VIIRS,n,2,299.46,1.65,D,0
29.56755,74.44963,332.31,0.4,0.37,2023-11-05,815,N,VIIRS,n,2,301.27,5.52,D,0
29.56762,74.4491,335.82,0.4,0.37,2023-11-05,815,N,VIIRS,n,2,301.9,5.54,D,0
29.57331,75.7494,345.84,0.44,0.39,2023-11-05,815,N,VIIRS,n,2,302.52,5.2,D,0
29.57376,74.44424,337.31,0.4,0.37,2023-11-05,815,N,VIIRS,n,2,300.82,5.2,D,0
29.57585,74.53335,334.92,0.41,0.37,2023-11-05,815,N,VIIRS,n,2,302.31,4.04,D,0
29.57618,75.8289,330.33,0.45,0.39,2023-11-05,815,N,VIIRS,n,2,301.29,1.62,D,0
29.58058,75.24884,347.15,0.43,0.38,2023-11-05,815,N,VIIRS,n,2,304.94,6.5,D,0
29.58109,74.42154,344.53,0.4,0.37,2023-11-05,815,N,VIIRS,n,2,304.58,10.68,D,0
29.58931,75.23383,333.53,0.43,0.38,2023-11-05,815,N,VIIRS,n,2,302.09,2.14,D,0
29.597,74.46145,347.66,0.41,0.37,2023-11-05,815,N,VIIRS,n,2,307.95,20.91,D,0
29.60987,74.88347,330.15,0.42,0.37,2023-11-05,815,N,VIIRS,n,2,301.69,1.83,D,0
29.61517,74.94859,334.36,0.42,0.37,2023-11-05,815,N,VIIRS,n,2,301.33,2.28,D,0
29.6183,75.15697,334.78,0.42,0.38,2023-11-05,815,N,VIIRS,n,2,302.09,1.64,D,0
29.61933,75.46495,334.39,0.43,0.38,2023-11-05,815,N,VIIRS,n,2,300.38,3.45,D,0
29.62003,75.14324,333.28,0.42,0.38,2023-11-05,815,N,VIIRS,n,2,300.24,2.45,D,0
29.62569,76.94887,336.06,0.5,0.41,2023-11-05,815,N,VIIRS,n,2,305.06,2.88,D,0
29.62578,74.41776,342.69,0.4,0.37,2023-11-05,815,N,VIIRS,n,2,303.22,9.66,D,0
29.62945,76.94829,336.8,0.5,0.41,2023-11-05,815,N,VIIRS,n,2,305.82,5.7,D,0
29.62987,75.46316,332.7,0.43,0.38,2023-11-05,815,N,VIIRS,n,2,301.91,3.9,D,0
29.6328,75.45807,333.93,0.43,0.38,2023-11-05,815,N,VIIRS,l,2,304.5,3.9,D,0
29.6351,75.9474,338.18,0.45,0.39,2023-11-05,815,N,VIIRS,n,2,304.68,5.78,D,0
29.63558,74.48882,337.67,0.41,0.37,2023-11-05,815,N,VIIRS,n,2,304.92,3.47,D,0
29.64027,74.34686,345.78,0.4,0.37,2023-11-05,815,N,VIIRS,n,2,302.29,6.47,D,0
29.64456,75.85065,347.59,0.45,0.39,2023-11-05,815,N,VIIRS,n,2,305.72,4.43,D,0
29.64675,75.85197,338.71,0.45,0.39,2023-11-05,815,N,VIIRS,n,2,303.25,5.67,D,0
29.64744,75.35053,333.49,0.43,0.38,2023-11-05,815,N,VIIRS,n,2,301.04,2.64,D,0
29.64932,75.78532,333.66,0.45,0.39,2023-11-05,815,N,VIIRS,n,2,305.82,1.48,D,0
29.65012,76.09412,335.81,0.46,0.39,2023-11-05,815,N,VIIRS,n,2,302.14,4.96,D,0
29.65062,75.73806,345.83,0.44,0.39,2023-11-05,815,N,VIIRS,n,2,312.21,41.18,D,0
29.65189,75.9225,332.6,0.45,0.39,2023-11-05,815,N,VIIRS,l,2,306.02,6.01,D,0
29.65247,75.92717,334,0.45,0.39,2023-11-05,815,N,VIIRS,n,2,305.44,6.01,D,0
29.6542,75.92516,347.67,0.45,0.39,2023-11-05,815,N,VIIRS,n,2,308.43,12.34,D,0
29.65504,75.51866,337.73,0.44,0.38,2023-11-05,815,N,VIIRS,n,2,302.57,4.82,D,0
29.66032,75.50395,335.32,0.44,0.38,2023-11-05,815,N,VIIRS,n,2,303.17,2.98,D,0
29.66267,75.46677,342.49,0.43,0.38,2023-11-05,815,N,VIIRS,n,2,303.92,5.91,D,0
29.66475,75.21183,330.23,0.43,0.38,2023-11-05,815,N,VIIRS,l,2,302.76,2.92,D,0
29.66689,76.02375,336.2,0.46,0.39,2023-11-05,815,N,VIIRS,n,2,304.52,3.22,D,0
29.66771,76.02062,334.31,0.46,0.39,2023-11-05,815,N,VIIRS,n,2,303.51,2.72,D,0
29.66971,75.5485,346.45,0.44,0.38,2023-11-05,815,N,VIIRS,n,2,308.01,16.14,D,0
29.67648,76.57622,331.88,0.48,0.4,2023-11-05,815,N,VIIRS,n,2,304.8,2.25,D,0
29.67656,76.07044,330.39,0.46,0.39,2023-11-05,815,N,VIIRS,l,2,303.93,4.07,D,0
29.68263,75.50938,335.7,0.44,0.38,2023-11-05,815,N,VIIRS,n,2,304.46,2.82,D,0
29.6853,75.92651,338.49,0.45,0.39,2023-11-05,815,N,VIIRS,l,2,308.66,14.6,D,0
29.68583,75.95994,335.72,0.45,0.39,2023-11-05,815,N,VIIRS,n,2,309.53,4.88,D,0
29.68583,76.43834,346.41,0.47,0.4,2023-11-05,815,N,VIIRS,n,2,304.13,6.92,D,0
29.6882,76.21964,331.63,0.46,0.39,2023-11-05,815,N,VIIRS,l,2,303.39,4.47,D,0
29.69091,75.62843,334.26,0.44,0.38,2023-11-05,815,N,VIIRS,n,2,302.88,3.47,D,0
29.69381,75.5398,332.55,0.44,0.38,2023-11-05,815,N,VIIRS,l,2,304.77,8.09,D,0
29.69612,75.50249,331.82,0.44,0.38,2023-11-05,815,N,VIIRS,l,2,302.19,1.95,D,0
29.69727,75.3476,332.89,0.43,0.38,2023-11-05,815,N,VIIRS,n,2,301.98,2.31,D,0
29.69733,75.53921,332.53,0.44,0.38,2023-11-05,815,N,VIIRS,n,2,301.45,4.16,D,0
29.70086,75.53861,333.8,0.44,0.38,2023-11-05,815,N,VIIRS,l,2,304.16,4.16,D,0
29.7025,75.36037,343.97,0.43,0.38,2023-11-05,815,N,VIIRS,n,2,305.24,11.97,D,0
29.70448,75.62151,333.72,0.44,0.38,2023-11-05,815,N,VIIRS,n,2,303.63,2.83,D,0
29.7047,74.35727,343.8,0.4,0.37,2023-11-05,815,N,VIIRS,n,2,306.25,18.18,D,0
29.70723,75.31403,334.76,0.43,0.38,2023-11-05,815,N,VIIRS,n,2,302.95,3.54,D,0
29.70852,75.99464,334.34,0.46,0.39,2023-11-05,815,N,VIIRS,l,2,305.74,2.85,D,0
29.70986,76.21321,334.89,0.46,0.39,2023-11-05,815,N,VIIRS,n,2,302.46,3.92,D,0
29.71021,75.22748,334.38,0.43,0.38,2023-11-05,815,N,VIIRS,n,2,303.04,3.18,D,0
29.71072,76.82856,334.43,0.49,0.41,2023-11-05,815,N,VIIRS,n,2,303.92,3.43,D,0
29.71105,75.78449,332.26,0.45,0.39,2023-11-05,815,N,VIIRS,n,2,304.2,2.69,D,0
29.71368,75.25399,332.87,0.43,0.38,2023-11-05,815,N,VIIRS,n,2,302.09,3.98,D,0
29.7148,75.31728,336.33,0.43,0.38,2023-11-05,815,N,VIIRS,n,2,302.17,3.91,D,0
29.71697,75.91651,331.97,0.45,0.39,2023-11-05,815,N,VIIRS,n,2,304.55,1.08,D,0
29.71986,74.95314,335.12,0.42,0.38,2023-11-05,815,N,VIIRS,n,2,301.45,2.6,D,0
29.72113,75.94933,331.94,0.45,0.39,2023-11-05,815,N,VIIRS,n,2,306.28,2.32,D,0
29.72178,75.34339,332.03,0.43,0.38,2023-11-05,815,N,VIIRS,n,2,301.56,2.79,D,0
29.72241,75.23892,337.5,0.43,0.38,2023-11-05,815,N,VIIRS,n,2,302.64,6.04,D,0
29.72462,75.4206,331.92,0.43,0.38,2023-11-05,815,N,VIIRS,n,2,302.96,1.7,D,0
29.72547,75.59594,336.85,0.44,0.38,2023-11-05,815,N,VIIRS,n,2,303.43,5.41,D,0
29.72698,75.6831,346.57,0.44,0.39,2023-11-05,815,N,VIIRS,n,2,304.66,11.74,D,0
29.72705,75.66565,333.85,0.44,0.39,2023-11-05,815,N,VIIRS,n,2,303.79,4.04,D,0
29.7277,75.97224,336.55,0.45,0.39,2023-11-05,815,N,VIIRS,n,2,304.44,6.92,D,0
29.72874,75.66877,336.47,0.44,0.39,2023-11-05,815,N,VIIRS,n,2,302.61,3.64,D,0
29.73112,75.33268,335.93,0.43,0.38,2023-11-05,815,N,VIIRS,n,2,303.91,3.97,D,0
29.73599,75.78034,340.8,0.45,0.39,2023-11-05,815,N,VIIRS,n,2,305.86,7.54,D,0
29.73653,75.6547,333.06,0.44,0.39,2023-11-05,815,N,VIIRS,n,2,301.67,2.12,D,0
29.73694,75.34992,341.27,0.43,0.38,2023-11-05,815,N,VIIRS,n,2,303.24,4.15,D,0
29.74088,75.98931,334.95,0.46,0.39,2023-11-05,815,N,VIIRS,n,2,306.05,7.67,D,0
29.74385,75.92642,332.85,0.45,0.39,2023-11-05,815,N,VIIRS,n,2,305.63,1.52,D,0
29.74388,76.04191,337.79,0.46,0.39,2023-11-05,815,N,VIIRS,n,2,306.02,8.47,D,0
29.74439,75.84527,343.37,0.45,0.39,2023-11-05,815,N,VIIRS,n,2,305.29,6.17,D,0
29.74803,75.40746,333.41,0.43,0.38,2023-11-05,815,N,VIIRS,n,2,304.08,2.82,D,0
29.74927,75.99756,335.99,0.46,0.39,2023-11-05,815,N,VIIRS,n,2,308.88,6.01,D,0
29.75287,75.99697,334.9,0.46,0.39,2023-11-05,815,N,VIIRS,n,2,304.39,6.01,D,0
29.75398,75.8913,347.29,0.45,0.39,2023-11-05,815,N,VIIRS,n,2,306.44,4.96,D,0
29.75407,76.00642,338.43,0.46,0.39,2023-11-05,815,N,VIIRS,n,2,306.68,8.29,D,0
29.75409,75.73622,334.15,0.45,0.39,2023-11-05,815,N,VIIRS,n,2,302.96,3.14,D,0
29.75543,75.89253,339.05,0.45,0.39,2023-11-05,815,N,VIIRS,n,2,305.12,5.34,D,0
29.75582,75.93404,335.42,0.45,0.39,2023-11-05,815,N,VIIRS,n,2,306.49,3.72,D,0
29.75797,75.37373,337.2,0.43,0.38,2023-11-05,815,N,VIIRS,n,2,301.77,5.47,D,0
29.76085,75.31395,335.64,0.43,0.38,2023-11-05,815,N,VIIRS,n,2,304.52,3.06,D,0
29.7609,75.3961,336.27,0.43,0.38,2023-11-05,815,N,VIIRS,n,2,302.54,3.82,D,0
29.76429,76.0289,340.4,0.46,0.39,2023-11-05,815,N,VIIRS,n,2,303.47,3.29,D,0
29.76555,76.15514,339.72,0.46,0.39,2023-11-05,815,N,VIIRS,n,2,305.65,3.56,D,0
29.76672,75.35853,342.2,0.43,0.38,2023-11-05,815,N,VIIRS,n,2,306.13,6.49,D,0
29.76729,76.02357,334.84,0.46,0.39,2023-11-05,815,N,VIIRS,n,2,304.77,11.52,D,0
29.76904,75.97987,336.62,0.45,0.39,2023-11-05,815,N,VIIRS,n,2,305.32,8,D,0
29.76917,76.15454,331.01,0.46,0.39,2023-11-05,815,N,VIIRS,n,2,303.81,3.03,D,0
29.7695,75.97652,335.21,0.46,0.39,2023-11-05,815,N,VIIRS,l,2,305.29,3.82,D,0
29.77023,75.35793,336.56,0.43,0.38,2023-11-05,815,N,VIIRS,n,2,304.06,6.49,D,0
29.77029,76.01825,334.99,0.46,0.39,2023-11-05,815,N,VIIRS,n,2,304.31,11.52,D,0
29.77066,75.98596,338.92,0.46,0.39,2023-11-05,815,N,VIIRS,n,2,305.91,9.48,D,0
29.77092,76.05202,346.01,0.46,0.39,2023-11-05,815,N,VIIRS,n,2,304.32,8.03,D,0
29.77203,75.42631,336.74,0.43,0.38,2023-11-05,815,N,VIIRS,n,2,300.91,3.21,D,0
29.77324,75.984,352.05,0.46,0.39,2023-11-05,815,N,VIIRS,n,2,306.19,8,D,0
29.77368,75.98065,343.98,0.46,0.39,2023-11-05,815,N,VIIRS,n,2,304.86,5.28,D,0
29.77378,75.60642,334.08,0.44,0.38,2023-11-05,815,N,VIIRS,n,2,303.19,3.83,D,0
29.77426,75.98537,339.83,0.46,0.39,2023-11-05,815,N,VIIRS,n,2,301.66,5.28,D,0
29.77489,75.69982,333.95,0.44,0.39,2023-11-05,815,N,VIIRS,n,2,300.52,4.3,D,0
29.77535,75.26151,335.29,0.43,0.38,2023-11-05,815,N,VIIRS,l,2,309.42,24.45,D,0
29.77552,75.9659,337.92,0.45,0.39,2023-11-05,815,N,VIIRS,n,2,310.51,15.68,D,0
29.7758,76.35606,336.39,0.47,0.4,2023-11-05,815,N,VIIRS,n,2,303.85,3.06,D,0
29.77616,75.56879,336.49,0.44,0.38,2023-11-05,815,N,VIIRS,n,2,303.34,3,D,0
29.77634,75.8843,344.77,0.45,0.39,2023-11-05,815,N,VIIRS,n,2,301.15,5.91,D,0
29.77674,75.60126,341.03,0.44,0.38,2023-11-05,815,N,VIIRS,n,2,301.77,5.09,D,0
29.77729,75.66189,333.17,0.44,0.39,2023-11-05,815,N,VIIRS,n,2,301.51,2.93,D,0
29.77779,75.33382,338.39,0.43,0.38,2023-11-05,815,N,VIIRS,n,2,304.09,4.9,D,0
29.77793,75.52676,335.59,0.44,0.38,2023-11-05,815,N,VIIRS,n,2,305.66,4.76,D,0
29.77909,75.61951,335.57,0.44,0.38,2023-11-05,815,N,VIIRS,n,2,302.11,3.29,D,0
29.77969,75.56819,343.79,0.44,0.38,2023-11-05,815,N,VIIRS,n,2,309.46,27.51,D,0
29.78026,75.62865,345.98,0.44,0.38,2023-11-05,815,N,VIIRS,n,2,306.7,9.9,D,0
29.78065,76.15757,337.67,0.46,0.39,2023-11-05,815,N,VIIRS,n,2,306.15,8.26,D,0
29.78146,75.52615,334.73,0.44,0.38,2023-11-05,815,N,VIIRS,n,2,302.35,3,D,0
29.78271,75.96471,346.56,0.45,0.39,2023-11-05,815,N,VIIRS,n,2,313.71,14.91,D,0
29.78323,75.5676,335.28,0.44,0.38,2023-11-05,815,N,VIIRS,n,2,309.31,27.51,D,0
29.7833,75.96944,335.01,0.45,0.39,2023-11-05,815,N,VIIRS,l,2,305.3,7.76,D,0
29.78381,75.62806,348.35,0.44,0.38,2023-11-05,815,N,VIIRS,n,2,303.03,9.9,D,0
29.78428,76.15698,341.54,0.46,0.39,2023-11-05,815,N,VIIRS,n,2,305.97,6.89,D,0
29.78439,75.66071,344.44,0.44,0.39,2023-11-05,815,N,VIIRS,n,2,306.95,15.73,D,0
29.7844,75.54883,342.72,0.44,0.38,2023-11-05,815,N,VIIRS,n,2,304.94,5.02,D,0
29.7863,75.96413,298.95,0.45,0.39,2023-11-05,815,N,VIIRS,l,2,318.63,68.18,D,0
29.78675,75.65094,341.15,0.44,0.39,2023-11-05,815,N,VIIRS,n,2,303.02,5.31,D,0
29.78689,75.96885,338.18,0.45,0.39,2023-11-05,815,N,VIIRS,n,2,304.61,38.32,D,0
29.78767,75.88721,337.68,0.45,0.39,2023-11-05,815,N,VIIRS,n,2,300.4,3.51,D,0
29.78853,75.63661,340.43,0.44,0.38,2023-11-05,815,N,VIIRS,n,2,303.31,3.82,D,0
29.78912,75.64119,333.16,0.44,0.38,2023-11-05,815,N,VIIRS,n,2,301.23,3.82,D,0
29.79084,76.06004,341.96,0.46,0.39,2023-11-05,815,N,VIIRS,n,2,306.3,18.14,D,0
29.79089,75.65493,347.03,0.44,0.39,2023-11-05,815,N,VIIRS,n,2,305.66,11.6,D,0
29.79148,75.65952,339.35,0.44,0.39,2023-11-05,815,N,VIIRS,n,2,305.49,11.6,D,0
29.79325,75.58917,345.23,0.44,0.38,2023-11-05,815,N,VIIRS,n,2,302.49,6.22,D,0
29.79335,76.02087,336.38,0.46,0.39,2023-11-05,815,N,VIIRS,n,2,306.21,11.98,D,0
29.79378,76.08387,333.62,0.46,0.39,2023-11-05,815,N,VIIRS,n,2,302.01,2.17,D,0
29.79428,75.29134,342.51,0.43,0.38,2023-11-05,815,N,VIIRS,n,2,307.02,12.34,D,0
29.79486,75.29579,334.89,0.43,0.38,2023-11-05,815,N,VIIRS,n,2,305.96,9.07,D,0
29.795,75.54705,337.45,0.44,0.38,2023-11-05,815,N,VIIRS,n,2,304.25,4.34,D,0
29.79679,75.58858,338.35,0.44,0.38,2023-11-05,815,N,VIIRS,n,2,304.5,5,D,0
29.79696,76.02027,338.63,0.46,0.39,2023-11-05,815,N,VIIRS,n,2,302.13,11.98,D,0
29.79799,75.65374,345.56,0.44,0.39,2023-11-05,815,N,VIIRS,n,2,303.83,5.19,D,0
29.79883,75.35439,339.64,0.43,0.38,2023-11-05,815,N,VIIRS,n,2,301.69,3.77,D,0
29.79885,75.3576,340.22,0.43,0.38,2023-11-05,815,N,VIIRS,n,2,301.85,4.14,D,0
29.79904,75.21795,335.61,0.43,0.38,2023-11-05,815,N,VIIRS,n,2,306.62,3.39,D,0
29.79924,76.06839,347.55,0.46,0.39,2023-11-05,815,N,VIIRS,n,2,305.1,8.8,D,0
29.7994,75.35887,343.96,0.43,0.38,2023-11-05,815,N,VIIRS,n,2,302.15,5.62,D,0
29.80056,76.01968,335.46,0.46,0.39,2023-11-05,815,N,VIIRS,n,2,306.78,5.75,D,0
29.80153,75.70947,341.41,0.44,0.39,2023-11-05,815,N,VIIRS,n,2,305.03,12.54,D,0
29.80226,76.06303,339.65,0.46,0.39,2023-11-05,815,N,VIIRS,n,2,302.43,8.8,D,0
29.80286,75.38576,341,0.43,0.38,2023-11-05,815,N,VIIRS,n,2,302.59,5.25,D,0
29.80291,75.35827,345.79,0.43,0.38,2023-11-05,815,N,VIIRS,n,2,301.24,7.57,D,0
29.80324,75.55495,332.78,0.44,0.38,2023-11-05,815,N,VIIRS,n,2,302.66,1.35,D,0
29.8033,75.63881,339.82,0.44,0.38,2023-11-05,815,N,VIIRS,n,2,307.38,4.54,D,0
29.8039,75.69966,333.43,0.44,0.39,2023-11-05,815,N,VIIRS,n,2,302.7,3.54,D,0
29.80416,76.0191,335.26,0.46,0.39,2023-11-05,815,N,VIIRS,n,2,303.26,5.75,D,0
29.80475,76.02383,339.95,0.46,0.39,2023-11-05,815,N,VIIRS,n,2,301.48,10.22,D,0
