date,state_group,fire_count,year,month,day,season_day
2020-10-16,Delhi,2,2020,10,16,16
2020-10-17,Delhi,1,2020,10,17,17
2020-10-18,Delhi,0,2020,10,18,18
2020-10-19,Delhi,0,2020,10,19,19
2020-10-20,Delhi,0,2020,10,20,20
2020-10-21,Delhi,4,2020,10,21,21
2020-10-22,Delhi,4,2020,10,22,22
2020-10-23,Delhi,4,2020,10,23,23
2020-10-24,Delhi,5,2020,10,24,24
2020-10-25,Delhi,0,2020,10,25,25
2020-10-26,Delhi,1,2020,10,26,26
2020-10-27,Delhi,2,2020,10,27,27
2020-10-28,Delhi,0,2020,10,28,28
2020-10-29,Delhi,0,2020,10,29,29
2020-10-30,Delhi,0,2020,10,30,30
2020-10-31,Delhi,1,2020,10,31,31
2020-11-01,Delhi,2,2020,11,1,32
2020-11-02,Delhi,4,2020,11,2,33
2020-11-03,Delhi,0,2020,11,3,34
2020-11-04,Delhi,1,2020,11,4,35
2020-11-05,Delhi,0,2020,11,5,36
2020-11-06,Delhi,1,2020,11,6,37
2020-11-07,Delhi,1,2020,11,7,38
2020-11-08,Delhi,1,2020,11,8,39
2020-11-09,Delhi,1,2020,11,9,40
2020-11-10,Delhi,0,2020,11,10,41
2020-11-11,Delhi,0,2020,11,11,42
2020-11-12,Delhi,1,2020,11,12,43
2020-11-13,Delhi,2,2020,11,13,44
2020-11-14,Delhi,3,2020,11,14,45
2020-11-15,Delhi,0,2020,11,15,46
2020-11-16,Delhi,1,2020,11,16,47
2020-11-17,Delhi,2,2020,11,17,48
2020-11-18,Delhi,0,2020,11,18,49
2020-11-19,Delhi,0,2020,11,19,50
2020-11-20,Delhi,0,2020,11,20,51
2020-11-21,Delhi,0,2020,11,21,52
2020-11-22,Delhi,1,2020,11,22,53
2020-11-23,Delhi,1,2020,11,23,54
2020-11-24,Delhi,0,2020,11,24,55
2020-11-25,Delhi,0,2020,11,25,56
2020-11-26,Delhi,1,2020,11,26,57
2020-11-27,Delhi,2,2020,11,27,58
2020-11-28,Delhi,2,2020,11,28,59
2020-11-29,Delhi,1,2020,11,29,60
2020-11-30,Delhi,0,2020,11,30,61
2020-10-01,Other,123,2020,10,1,1
2020-10-02,Other,145,2020,10,2,2
2020-10-03,Other,99,2020,10,3,3
2020-10-04,Other,129,2020,10,4,4
2020-10-05,Other,132,2020,10,5,5
2020-10-06,Other,206,2020,10,6,6
2020-10-07,Other,159,2020,10,7,7
2020-10-08,Other,145,2020,10,8,8
2020-10-09,Other,120,2020,10,9,9
2020-10-10,Other,200,2020,10,10,10
2020-10-11,Other,299,2020,10,11,11
2020-10-12,Other,227,2020,10,12,12
2020-10-13,Other,132,2020,10,13,13
2020-10-14,Other,162,2020,10,14,14
2020-10-15,Other,140,2020,10,15,15
2020-10-16,Other,311,2020,10,16,16
2020-10-17,Other,335,2020,10,17,17
2020-10-18,Other,223,2020,10,18,18
2020-10-19,Other,135,2020,10,19,19
2020-10-20,Other,169,2020,10,20,20
2020-10-21,Other,150,2020,10,21,21
2020-10-22,Other,193,2020,10,22,22
2020-10-23,Other,114,2020,10,23,23
2020-10-24,Other,104,2020,10,24,24
2020-10-25,Other,116,2020,10,25,25
2020-10-26,Other,204,2020,10,26,26
2020-10-27,Other,237,2020,10,27,27
2020-10-28,Other,186,2020,10,28,28
2020-10-29,Other,72,2020,10,29,29
2020-10-30,Other,90,2020,10,30,30
2020-10-31,Other,165,2020,10,31,31
2020-11-01,Other,250,2020,11,1,32
2020-11-02,Other,198,2020,11,2,33
2020-11-03,Other,177,2020,11,3,34
2020-11-04,Other,167,2020,11,4,35
2020-11-05,Other,180,2020,11,5,36
2020-11-06,Other,272,2020,11,6,37
2020-11-07,Other,505,2020,11,7,38
2020-11-08,Other,290,2020,11,8,39
2020-11-09,Other,143,2020,11,9,40
2020-11-10,Other,173,2020,11,10,41
2020-11-11,Other,276,2020,11,11,42
2020-11-12,Other,355,2020,11,12,43
2020-11-13,Other,360,2020,11,13,44
2020-11-14,Other,47,2020,11,14,45
2020-11-15,Other,32,2020,11,15,46
2020-11-16,Other,20,2020,11,16,47
2020-11-17,Other,87,2020,11,17,48
2020-11-18,Other,146,2020,11,18,49
2020-11-19,Other,98,2020,11,19,50
2020-11-20,Other,198,2020,11,20,51
2020-11-21,Other,236,2020,11,21,52
