date,latitude,longitude,count,frp
2023-10-02,31.68,75.12,2,7.17
2023-10-02,31.68,75.18,3,18.56
2023-10-02,31.68,75.30,1,2.12
2023-10-02,31.74,74.94,3,6.06
2023-10-02,31.74,75.00,8,80.18
2023-10-02,31.74,75.06,4,15.63
2023-10-02,31.74,75.12,1,2.31
2023-10-02,31.80,74.94,3,9.69
2023-10-02,31.80,75.00,1,3.29
2023-10-02,31.80,75.06,7,39.30
2023-10-02,31.86,74.70,1,3.06
2023-10-02,31.92,74.76,1,3.09
2023-10-03,27.54,75.84,1,3.67
2023-10-03,27.84,77.46,2,8.62
2023-10-03,27.90,77.52,1,4.10
2023-10-03,27.96,77.34,1,3.49
2023-10-03,27.96,77.40,3,29.03
2023-10-03,27.96,77.64,1,2.49
2023-10-03,28.02,77.70,1,2.00
2023-10-03,28.02,77.76,1,3.37
2023-10-03,28.20,76.08,1,1.11
2023-10-03,28.50,76.38,1,5.92
2023-10-03,28.56,76.14,2,8.43
2023-10-03,28.74,76.92,1,2.11
2023-10-03,28.74,77.16,1,0.61
2023-10-03,29.40,75.48,1,6.20
2023-10-03,29.46,75.96,1,6.82
2023-10-03,29.58,74.34,1,1.36
2023-10-03,29.64,76.50,1,4.93
2023-10-03,29.88,74.10,2,7.98
2023-10-03,29.94,76.74,1,6.19
2023-10-03,30.00,76.86,2,36.49
2023-10-03,30.00,77.16,1,2.93
2023-10-03,30.24,75.60,1,5.12
2023-10-03,30.24,75.72,2,18.10
2023-10-03,30.24,76.20,3,19.26
2023-10-03,30.24,76.32,2,19.23
2023-10-03,30.24,76.80,1,4.21
2023-10-03,30.30,76.20,1,5.30
2023-10-03,30.30,76.26,3,25.87
2023-10-03,30.30,76.86,1,8.78
2023-10-03,30.30,76.92,1,3.92
2023-10-03,30.30,77.22,1,5.66
2023-10-03,30.42,77.16,2,8.48
2023-10-03,30.42,77.34,1,4.08
2023-10-03,30.48,74.04,1,2.99
2023-10-03,30.48,76.68,1,8.41
2023-10-03,30.48,76.92,1,7.75
2023-10-03,30.54,76.80,1,6.39
2023-10-03,30.78,74.46,1,3.34
2023-10-03,30.78,76.68,1,7.56
2023-10-03,30.96,74.70,1,5.67
2023-10-03,31.20,75.18,1,4.68
2023-10-03,31.26,75.12,5,24.79
2023-10-03,31.26,75.18,4,24.41
2023-10-03,31.26,76.92,1,0.74
2023-10-03,31.32,74.64,1,28.33
2023-10-03,31.32,75.00,1,3.76
2023-10-03,31.32,75.18,1,3.57
2023-10-03,31.38,75.06,1,8.04
2023-10-03,31.38,75.12,3,17.23
2023-10-03,31.38,75.30,2,8.71
2023-10-03,31.44,74.88,1,16.46
2023-10-03,31.44,75.06,1,11.41
2023-10-03,31.44,75.12,4,24.65
2023-10-03,31.44,75.48,1,5.87
2023-10-03,31.50,74.64,2,10.61
2023-10-03,31.50,74.88,1,2.39
2023-10-03,31.50,75.06,5,16.06
2023-10-03,31.50,75.24,2,19.52
2023-10-03,31.50,75.60,1,3.78
2023-10-03,31.56,74.76,1,2.51
2023-10-03,31.56,75.00,2,4.71
2023-10-03,31.56,75.06,3,17.38
2023-10-03,31.56,75.18,4,22.02
2023-10-03,31.56,75.30,1,3.76
2023-10-03,31.62,74.82,1,3.76
2023-10-03,31.62,75.00,1,3.24
2023-10-03,31.62,75.06,1,4.25
2023-10-03,31.62,75.12,5,27.77
2023-10-03,31.62,75.18,4,13.23
2023-10-03,31.68,74.94,1,4.44
2023-10-03,31.68,75.00,1,17.20
2023-10-03,31.68,75.06,1,3.53
2023-10-03,31.68,75.30,1,4.49
2023-10-03,31.74,74.94,5,18.93
2023-10-03,31.74,75.00,2,14.41
2023-10-03,31.74,75.06,1,8.34
2023-10-03,31.80,74.64,1,2.22
2023-10-03,31.80,74.70,4,34.01
2023-10-03,31.86,74.64,1,6.31
2023-10-03,31.86,74.88,2,9.22
2023-10-03,31.92,74.88,1,3.20
2023-10-04,27.60,77.46,3,15.75
2023-10-04,27.66,76.14,1,1.16
2023-10-04,27.66,77.46,1,5.14
2023-10-04,27.78,78.36,1,2.07
2023-10-04,27.96,77.52,1,5.77
2023-10-04,28.02,77.40,2,32.16
2023-10-04,28.14,77.82,1,4.14
2023-10-04,28.20,76.86,1,3.48
2023-10-04,28.32,76.74,1,4.89
2023-10-04,28.32,77.52,1,4.87
2023-10-04,28.68,78.42,2,5.89
2023-10-04,28.98,76.80,1,3.36
2023-10-04,28.98,77.76,2,20.38
2023-10-04,29.10,76.68,1,4.74
2023-10-04,29.10,77.04,1,1.93
2023-10-04,29.16,76.62,1,7.33
2023-10-04,29.16,77.10,1,3.17
2023-10-04,29.22,76.02,2,6.94
2023-10-04,29.40,76.68,1,4.00
2023-10-04,29.40,76.92,1,1.31
2023-10-04,29.46,73.98,1,5.91
2023-10-04,29.46,74.52,1,3.22
2023-10-04,29.46,75.78,1,4.06
2023-10-04,29.46,75.96,1,5.59
2023-10-04,29.46,76.08,1,1.50
2023-10-04,29.52,75.48,1,2.90
2023-10-04,29.52,75.84,1,3.03
2023-10-04,29.58,74.34,2,9.21
2023-10-04,29.58,75.90,1,2.35
2023-10-04,29.58,75.96,1,3.43
2023-10-04,29.58,76.02,1,2.75
2023-10-04,29.58,76.38,1,2.41
2023-10-04,29.64,74.52,1,13.73
2023-10-04,29.64,75.42,1,4.16
2023-10-04,29.64,75.96,1,1.61
2023-10-04,29.76,76.08,1,2.84
2023-10-04,29.76,76.62,1,2.62
2023-10-04,29.82,75.84,1,7.45
2023-10-04,29.94,74.16,1,3.54
2023-10-04,29.94,74.28,1,2.57
2023-10-04,29.94,74.94,1,1.57
2023-10-04,29.94,76.02,1,2.26
2023-10-04,30.00,76.02,1,2.73
2023-10-04,30.06,76.74,3,22.76
2023-10-04,30.06,76.98,1,6.53
2023-10-04,30.06,77.16,1,2.59
2023-10-04,30.12,76.14,1,6.00
2023-10-04,30.12,76.26,1,3.87
2023-10-04,30.18,76.68,1,3.10
2023-10-04,30.18,76.98,2,4.83
2023-10-04,30.24,74.94,1,4.84
2023-10-04,30.24,75.60,1,4.77
2023-10-04,30.24,76.14,1,2.53
2023-10-04,30.24,76.80,1,5.20
2023-10-04,30.24,77.04,2,12.57
2023-10-04,30.30,76.86,5,20.93
2023-10-04,30.30,77.10,1,4.02
2023-10-04,30.36,76.32,1,3.94
2023-10-04,30.42,74.82,1,2.65
2023-10-04,30.42,76.20,1,3.08
2023-10-04,30.42,76.56,1,6.46
2023-10-04,30.42,76.92,1,3.15
2023-10-04,30.42,77.10,1,4.60
2023-10-04,30.48,76.14,1,7.71
2023-10-04,30.48,76.68,3,8.88
2023-10-04,30.48,76.92,1,3.74
2023-10-04,30.60,76.68,1,3.88
2023-10-04,30.60,76.80,3,17.56
2023-10-04,30.66,76.50,1,5.72
2023-10-04,30.84,76.26,2,6.70
2023-10-04,30.96,74.58,2,7.24
2023-10-04,31.08,74.58,1,4.87
2023-10-04,31.08,75.24,1,2.14
2023-10-04,31.08,76.20,1,12.71
2023-10-04,31.14,74.94,1,4.32
2023-10-04,31.26,75.12,1,3.02
2023-10-04,31.26,75.18,1,7.83
2023-10-04,31.26,75.24,1,1.43
2023-10-04,31.26,76.08,1,11.66
2023-10-04,31.32,75.24,2,17.44
2023-10-04,31.38,74.82,1,4.14
2023-10-04,31.38,75.06,2,24.80
2023-10-04,31.38,75.12,2,29.59
2023-10-04,31.38,75.24,1,3.72
2023-10-04,31.38,75.30,1,1.95
2023-10-04,31.44,74.82,1,2.31
2023-10-04,31.44,75.06,3,17.19
2023-10-04,31.44,75.18,1,2.35
2023-10-04,31.50,74.64,1,1.78
2023-10-04,31.50,74.70,2,5.91
2023-10-04,31.50,74.88,4,23.01
2023-10-04,31.50,74.94,1,3.74
2023-10-04,31.50,75.00,1,5.55
2023-10-04,31.50,75.06,2,13.37
2023-10-04,31.50,75.12,2,23.57
2023-10-04,31.50,75.18,1,6.81
2023-10-04,31.50,75.48,1,2.26
2023-10-04,31.56,74.76,3,15.23
2023-10-04,31.56,74.82,4,22.58
2023-10-04,31.56,75.06,4,18.22
2023-10-04,31.56,75.12,3,11.26
2023-10-04,31.56,75.18,3,9.67
2023-10-04,31.56,75.24,1,4.31
2023-10-04,31.62,74.82,1,3.08
2023-10-04,31.62,75.00,1,6.17
2023-10-04,31.62,75.06,4,10.41
2023-10-04,31.62,75.12,2,4.82
2023-10-04,31.62,75.24,1,2.84
2023-10-04,31.62,75.30,1,3.19
2023-10-04,31.68,75.00,4,21.53
2023-10-04,31.68,75.06,3,10.60
2023-10-04,31.68,75.12,1,4.68
2023-10-04,31.68,75.18,1,15.57
2023-10-04,31.68,75.24,3,11.66
2023-10-04,31.74,74.88,1,7.33
2023-10-04,31.74,74.94,4,44.54
2023-10-04,31.74,75.00,2,12.71
2023-10-04,31.74,75.06,3,17.56
2023-10-04,31.80,74.88,1,2.49
2023-10-04,31.80,74.94,4,26.91
2023-10-04,31.80,75.00,3,9.35
2023-10-04,31.80,75.06,2,14.36
2023-10-04,31.80,75.12,1,2.85
2023-10-04,31.86,74.70,1,2.63
2023-10-04,31.92,74.70,1,9.38
2023-10-04,31.92,74.82,1,5.83
2023-10-04,32.10,75.18,1,8.89
2023-10-05,27.84,78.18,1,3.49
2023-10-05,27.84,78.36,1,1.62
2023-10-05,27.90,77.52,1,4.10
2023-10-05,27.96,77.40,1,5.29
2023-10-05,27.96,77.46,1,3.64
2023-10-05,27.96,78.24,1,1.38
2023-10-05,28.08,77.88,1,0.64
2023-10-05,28.08,77.94,1,2.30
2023-10-05,28.14,78.12,1,1.77
2023-10-05,28.44,78.72,1,2.38
2023-10-05,28.68,76.02,1,3.37
2023-10-05,28.68,78.54,1,2.46
2023-10-05,28.68,78.66,1,2.88
2023-10-05,28.80,76.92,3,2.84
2023-10-05,28.80,77.04,1,5.04
2023-10-05,28.80,77.10,1,1.55
2023-10-05,28.86,78.78,1,1.00
2023-10-05,29.10,76.68,1,1.14
2023-10-05,29.10,77.10,1,2.53
2023-10-05,29.22,76.02,1,5.99
2023-10-05,29.28,76.56,1,3.38
2023-10-05,29.34,75.60,1,4.20
2023-10-05,29.34,76.92,1,2.10
2023-10-05,29.40,76.62,2,6.50
2023-10-05,29.40,76.86,1,2.22
2023-10-05,29.40,76.92,1,1.88
2023-10-05,29.46,74.94,1,2.58
2023-10-05,29.46,75.78,2,7.63
2023-10-05,29.46,77.04,1,2.94
2023-10-05,29.52,75.36,1,31.61
2023-10-05,29.52,76.02,1,2.72
2023-10-05,29.58,74.82,1,7.57
2023-10-05,29.64,75.84,1,2.74
2023-10-05,29.64,75.96,1,1.84
2023-10-05,29.64,76.02,1,2.83
2023-10-05,29.64,77.40,1,2.06
2023-10-05,29.70,75.18,1,2.67
2023-10-05,29.70,75.84,1,1.38
2023-10-05,29.70,76.56,2,5.26
2023-10-05,29.76,75.06,1,4.95
2023-10-05,29.76,75.48,1,2.51
2023-10-05,29.76,76.08,1,2.53
2023-10-05,29.82,75.42,1,2.72
2023-10-05,29.88,74.46,1,1.63
2023-10-05,29.88,74.94,1,1.80
2023-10-05,29.88,75.18,1,0.88
2023-10-05,29.88,75.42,4,20.34
2023-10-05,29.88,75.48,1,3.18
2023-10-05,29.88,75.90,2,10.88
2023-10-05,29.88,76.02,1,2.12
2023-10-05,29.88,76.74,1,3.82
2023-10-05,29.94,73.68,1,3.58
2023-10-05,29.94,74.94,1,5.66
2023-10-05,30.00,76.08,1,2.24
2023-10-05,30.00,76.14,1,4.15
2023-10-05,30.00,76.86,1,2.24
2023-10-05,30.00,76.92,1,1.28
2023-10-05,30.06,76.02,1,2.35
2023-10-05,30.06,76.08,1,3.01
2023-10-05,30.06,76.20,1,3.91
2023-10-05,30.12,76.14,1,3.06
2023-10-05,30.18,75.54,1,1.67
2023-10-05,30.18,76.02,1,2.72
2023-10-05,30.18,76.68,2,4.98
2023-10-05,30.18,76.92,2,5.70
2023-10-05,30.18,76.98,1,4.72
2023-10-05,30.18,77.40,1,1.82
2023-10-05,30.24,76.02,1,3.02
2023-10-05,30.24,76.50,1,5.67
2023-10-05,30.24,77.10,1,2.81
2023-10-05,30.30,76.26,1,7.67
2023-10-05,30.30,76.80,1,4.69
2023-10-05,30.36,77.04,1,2.56
2023-10-05,30.36,77.10,1,2.69
2023-10-05,30.48,76.92,1,1.65
2023-10-05,30.54,76.68,2,8.05
2023-10-05,30.54,76.74,3,11.36
2023-10-05,30.66,74.70,1,4.91
2023-10-05,30.72,76.38,1,2.90
2023-10-05,30.72,76.56,1,9.75
2023-10-05,30.78,74.34,1,2.15
2023-10-05,30.84,74.88,1,3.56
2023-10-05,30.84,76.68,1,1.50
2023-10-05,30.90,76.50,1,2.18
2023-10-05,30.96,74.52,1,2.59
2023-10-05,31.02,75.42,1,2.90
2023-10-05,31.08,75.00,1,5.15
2023-10-05,31.08,75.24,2,8.92
2023-10-05,31.26,75.12,2,32.67
2023-10-05,31.26,75.18,1,10.47
2023-10-05,31.26,75.36,1,6.39
2023-10-05,31.32,75.18,1,3.78
2023-10-05,31.32,75.24,2,9.68
2023-10-05,31.38,75.06,3,23.33
2023-10-05,31.38,75.30,1,7.16
2023-10-05,31.44,74.70,1,2.96
2023-10-05,31.44,74.82,1,2.38
2023-10-05,31.44,74.88,2,14.14
2023-10-05,31.44,75.00,2,6.78
2023-10-05,31.44,75.12,3,13.12
2023-10-05,31.44,75.18,1,2.71
2023-10-05,31.44,75.48,1,5.03
2023-10-05,31.50,74.58,1,3.45
2023-10-05,31.50,74.64,2,6.35
2023-10-05,31.50,74.82,1,10.70
