date,year,month,day,season_day,punjab_fires,haryana_fires,delhi_fires,other_fires,total_fires,pm25_delhi,pm10_delhi,no2_delhi,o3_delhi,co_delhi,records_per_day
2020-11-25,2020,11,25,56,0,0,0,3,3,342.3017391304348,405.03782608695656,93.5491304347826,26.791304347826088,2971.5660869565218,23
2020-11-26,2020,11,26,57,26,8,1,29,64,180.7541666666667,226.00125,65.41875,20.753333333333337,2314.806666666667,24
2020-11-27,2020,11,27,58,107,27,2,94,230,115.90166666666666,143.9525,56.221666666666664,43.925,1592.159583333333,24
2020-11-28,2020,11,28,59,107,73,2,163,345,197.88916666666668,234.86125,70.04666666666667,50.3725,2461.1158333333333,24
2020-11-29,2020,11,29,60,66,50,1,123,240,329.38166666666666,404.0495833333334,93.94958333333334,34.69625,4516.680416666667,24
2020-11-30,2020,11,30,61,30,23,0,76,129,416.225,511.88625,105.43125,34.78333333333333,5575.339166666668,24
2021-10-01,2021,10,1,1,5,2,0,27,34,299.65208333333334,357.14166666666665,98.59125,69.60291666666667,3938.675,24
2021-10-02,2021,10,2,2,0,3,0,21,24,121.45041666666668,151.05833333333334,49.309583333333336,59.463750000000005,1900.9120833333336,24
2021-10-03,2021,10,3,3,13,7,1,96,117,66.31,102.03875,37.36833333333333,37.95375,1465.3208333333332,24
2021-10-04,2021,10,4,4,28,6,0,48,82,312.68125000000003,419.87583333333333,62.01875,29.99625,5781.452499999999,24
2021-10-05,2021,10,5,5,22,10,1,26,59,557.045,665.1225000000001,161.53916666666666,30.235,6459.315833333333,24
2021-10-06,2021,10,6,6,30,6,0,38,74,318.0154166666667,397.5116666666667,83.06875,65.1075,3697.236666666667,24
2021-10-07,2021,10,7,7,85,18,0,95,198,239.695,312.28000000000003,73.84333333333333,57.09625,3338.972916666667,24
2021-10-08,2021,10,8,8,89,30,0,117,236,268.4220833333333,355.15124999999995,75.20041666666667,53.67083333333334,4200.69625,24
2021-10-09,2021,10,9,9,161,82,1,228,472,209.65291666666667,303.87791666666664,64.73958333333333,45.64791666666667,3367.3433333333337,24
2021-10-10,2021,10,10,10,173,169,5,213,560,361.9708333333333,491.68249999999995,86.51708333333333,41.38666666666666,5948.901666666668,24
2021-10-11,2021,10,11,11,72,78,0,123,273,320.3979166666667,412.4575,103.04666666666668,43.413333333333334,5449.057083333333,24
2021-10-12,2021,10,12,12,96,78,1,106,281,247.92625,348.52416666666664,74.88583333333334,51.88375,4138.390416666666,24
2021-10-13,2021,10,13,13,140,132,0,234,506,182.06375,252.46916666666667,55.81458333333333,74.38333333333334,1930.67375,24
2021-10-14,2021,10,14,14,353,201,3,388,945,146.06916666666666,196.54208333333335,54.336666666666666,74.3425,1730.1241666666665,24
2021-10-15,2021,10,15,15,689,591,3,473,1756,202.75541666666663,268.55125000000004,76.07958333333333,59.6875,2828.28125,24
2021-10-16,2021,10,16,16,512,296,0,279,1087,383.28583333333336,467.48375,117.89791666666666,88.60041666666666,4797.617916666667,24
2021-10-17,2021,10,17,17,15,0,0,53,68,159.07708333333332,185.92291666666665,52.6225,47.47833333333333,1976.569166666667,24
2021-10-18,2021,10,18,18,70,2,0,59,131,96.46041666666667,126.06541666666668,39.443333333333335,0.2704166666666667,1743.475,24
2021-10-19,2021,10,19,19,515,79,1,352,947,97.34541666666668,122.17916666666667,46.60375,48.33375,1444.7375,24
2021-10-20,2021,10,20,20,1034,241,1,462,1738,144.89541666666668,188.3675,61.59166666666667,52.3825,2214.1133333333332,24
2021-10-21,2021,10,21,21,753,221,0,389,1363,92.06625,149.13208333333333,42.30583333333333,70.9375,1206.63625,24
2021-10-22,2021,10,22,22,912,156,4,361,1433,253.75833333333333,340.99625,71.25958333333334,36.59583333333333,4776.755,24
2021-10-23,2021,10,23,23,572,263,0,25,860,97.945,132.36791666666667,47.653333333333336,41.31333333333333,1611.3525,24
2021-10-24,2021,10,24,24,1,40,0,35,76,136.80583333333334,174.84083333333334,53.15833333333333,25.41875,1925.9445833333332,24
2021-10-25,2021,10,25,25,114,108,1,235,458,245.80333333333337,306.99375000000003,68.07416666666667,43.901250000000005,3116.7279166666667,24
2021-10-26,2021,10,26,26,327,241,1,164,733,174.45041666666668,232.73458333333335,64.88958333333333,35.49791666666667,2643.307916666666,24
2021-10-27,2021,10,27,27,298,152,0,122,572,163.3375,211.765,61.96208333333333,64.97875,2339.8404166666664,24
2021-10-28,2021,10,28,28,970,203,1,214,1388,211.4425,276.90958333333333,73.7225,40.30416666666667,3323.6745833333334,24
2021-10-29,2021,10,29,29,1224,231,1,249,1705,241.21125,302.0420833333333,83.96833333333333,70.05958333333334,3258.308333333333,24
2021-10-30,2021,10,30,30,1814,289,1,414,2518,158.59833333333333,189.38541666666663,39.32125,115.7,1824.1404166666669,24
2021-10-31,2021,10,31,31,2768,444,2,500,3714,320.81375,419.4870833333334,70.97291666666666,41.0,4805.962916666666,24
2021-11-01,2021,11,1,32,2244,246,0,234,2724,334.25666666666666,417.1425,88.32333333333334,53.54125,4380.384166666667,24
